obs;theta;resp;delta;error;cond;block;rt;study;experiment;stimulus
1;8;12;-55;4;1;4;1.31404806207865;Kondo et al. (2022);Experiment 4;Orientation
1;164;179;24;15;1;4;1.04829831898678;Kondo et al. (2022);Experiment 4;Orientation
1;51;54;-67;3;1;4;0.899097692104988;Kondo et al. (2022);Experiment 4;Orientation
1;31;25;20;-6;1;4;1.07320849702228;Kondo et al. (2022);Experiment 4;Orientation
1;178;13;33;15;1;4;1.30377399805002;Kondo et al. (2022);Experiment 4;Orientation
1;177;5;1;8;1;4;0.848658717004582;Kondo et al. (2022);Experiment 4;Orientation
1;12;20;-15;8;1;4;1.56186932697892;Kondo et al. (2022);Experiment 4;Orientation
1;172;179;20;7;1;4;1.2149668650236;Kondo et al. (2022);Experiment 4;Orientation
1;4;11;-12;7;1;4;0.769031875068322;Kondo et al. (2022);Experiment 4;Orientation
1;54;39;-50;-15;1;4;1.08299472392537;Kondo et al. (2022);Experiment 4;Orientation
1;108;129;-54;21;1;4;1.46921456092969;Kondo et al. (2022);Experiment 4;Orientation
1;155;167;-47;12;1;4;1.36383001797367;Kondo et al. (2022);Experiment 4;Orientation
1;0;9;-25;9;1;4;1.35994949599262;Kondo et al. (2022);Experiment 4;Orientation
1;103;128;77;25;1;4;0.875872371951118;Kondo et al. (2022);Experiment 4;Orientation
1;168;158;-65;-10;1;4;1.24154146609362;Kondo et al. (2022);Experiment 4;Orientation
1;92;69;76;-23;1;4;1.03781274706125;Kondo et al. (2022);Experiment 4;Orientation
1;47;56;45;9;1;4;0.986266455031;Kondo et al. (2022);Experiment 4;Orientation
1;62;58;-15;-4;1;4;1.32122646097559;Kondo et al. (2022);Experiment 4;Orientation
1;98;135;-36;37;1;4;2.25421785295475;Kondo et al. (2022);Experiment 4;Orientation
1;91;90;7;-1;1;4;1.04010982997715;Kondo et al. (2022);Experiment 4;Orientation
1;29;43;62;14;1;4;1.37955743598286;Kondo et al. (2022);Experiment 4;Orientation
1;175;4;34;9;1;4;1.52441721397918;Kondo et al. (2022);Experiment 4;Orientation
1;117;133;58;16;1;4;0.800149635062553;Kondo et al. (2022);Experiment 4;Orientation
1;169;164;-52;-5;1;4;1.67514770699199;Kondo et al. (2022);Experiment 4;Orientation
1;160;161;9;1;1;4;0.858492027036846;Kondo et al. (2022);Experiment 4;Orientation
1;72;58;88;-14;1;4;1.92190938000567;Kondo et al. (2022);Experiment 4;Orientation
1;30;43;42;13;1;4;0.933160557993688;Kondo et al. (2022);Experiment 4;Orientation
1;107;129;-77;22;1;5;1.11312459304463;Kondo et al. (2022);Experiment 4;Orientation
1;153;161;-46;8;1;5;0.903627975960262;Kondo et al. (2022);Experiment 4;Orientation
1;134;168;19;34;1;5;0.942883139941841;Kondo et al. (2022);Experiment 4;Orientation
1;37;44;-83;7;1;5;1.35219169198535;Kondo et al. (2022);Experiment 4;Orientation
1;85;82;-48;-3;1;5;0.861428307020105;Kondo et al. (2022);Experiment 4;Orientation
1;92;103;-7;11;1;5;0.893859736970626;Kondo et al. (2022);Experiment 4;Orientation
1;169;146;-77;-23;1;5;0.999587220023386;Kondo et al. (2022);Experiment 4;Orientation
1;137;150;32;13;1;5;1.33093572000507;Kondo et al. (2022);Experiment 4;Orientation
1;145;167;-8;22;1;5;0.861968679935671;Kondo et al. (2022);Experiment 4;Orientation
1;134;161;11;27;1;5;1.03820467903279;Kondo et al. (2022);Experiment 4;Orientation
1;14;34;-60;20;1;5;1.4818730460247;Kondo et al. (2022);Experiment 4;Orientation
1;17;27;-3;10;1;5;0.957761227036826;Kondo et al. (2022);Experiment 4;Orientation
1;93;84;-76;-9;1;5;2.20979257998988;Kondo et al. (2022);Experiment 4;Orientation
1;63;44;30;-19;1;5;0.923372681019828;Kondo et al. (2022);Experiment 4;Orientation
1;148;149;-85;1;1;5;0.944044000003487;Kondo et al. (2022);Experiment 4;Orientation
1;41;42;-73;1;1;5;1.59072514704894;Kondo et al. (2022);Experiment 4;Orientation
1;141;147;80;6;1;5;0.878301382996142;Kondo et al. (2022);Experiment 4;Orientation
1;173;162;-32;-11;1;5;1.45742730097845;Kondo et al. (2022);Experiment 4;Orientation
1;87;79;86;-8;1;5;1.12932888802607;Kondo et al. (2022);Experiment 4;Orientation
1;167;169;-80;2;1;5;1.28278770006727;Kondo et al. (2022);Experiment 4;Orientation
1;72;53;-85;-19;1;5;1.02398823492695;Kondo et al. (2022);Experiment 4;Orientation
1;133;146;-61;13;1;5;0.631475753034465;Kondo et al. (2022);Experiment 4;Orientation
1;86;69;47;-17;1;5;1.54906464903615;Kondo et al. (2022);Experiment 4;Orientation
1;141;150;-55;9;1;5;0.747171950992197;Kondo et al. (2022);Experiment 4;Orientation
1;174;168;-33;-6;1;5;0.80938484496437;Kondo et al. (2022);Experiment 4;Orientation
1;119;157;55;38;1;5;0.867688646074384;Kondo et al. (2022);Experiment 4;Orientation
1;58;43;61;-15;1;5;0.826134516042657;Kondo et al. (2022);Experiment 4;Orientation
1;30;30;28;0;1;5;1.41702769405674;Kondo et al. (2022);Experiment 4;Orientation
1;27;20;3;-7;1;5;0.769001918029971;Kondo et al. (2022);Experiment 4;Orientation
1;7;177;20;-10;1;5;0.795501577085815;Kondo et al. (2022);Experiment 4;Orientation
1;148;161;39;13;1;5;1.00104973698035;Kondo et al. (2022);Experiment 4;Orientation
1;70;54;78;-16;1;5;1.08470447303262;Kondo et al. (2022);Experiment 4;Orientation
1;154;141;-84;-13;1;5;1.12179479794577;Kondo et al. (2022);Experiment 4;Orientation
1;166;170;-12;4;1;5;1.14166270801798;Kondo et al. (2022);Experiment 4;Orientation
1;77;37;89;-40;1;5;1.12502912897617;Kondo et al. (2022);Experiment 4;Orientation
1;160;163;-83;3;1;5;1.33617821894586;Kondo et al. (2022);Experiment 4;Orientation
1;125;129;35;4;1;5;0.920176737010479;Kondo et al. (2022);Experiment 4;Orientation
1;31;44;-86;13;1;5;1.24477492400911;Kondo et al. (2022);Experiment 4;Orientation
1;91;93;-60;2;1;5;2.23322216398083;Kondo et al. (2022);Experiment 4;Orientation
1;162;140;-71;-22;1;5;1.55005425494164;Kondo et al. (2022);Experiment 4;Orientation
1;52;53;-70;1;1;5;0.812660454073921;Kondo et al. (2022);Experiment 4;Orientation
1;38;54;14;16;1;5;1.15057476388756;Kondo et al. (2022);Experiment 4;Orientation
1;46;49;-8;3;1;5;0.956992996972986;Kondo et al. (2022);Experiment 4;Orientation
1;158;167;68;9;1;5;1.45748792099766;Kondo et al. (2022);Experiment 4;Orientation
1;18;25;-40;7;1;5;1.0974144419888;Kondo et al. (2022);Experiment 4;Orientation
1;124;164;74;40;1;5;0.552603058051318;Kondo et al. (2022);Experiment 4;Orientation
1;128;141;-4;13;1;5;1.39162834500894;Kondo et al. (2022);Experiment 4;Orientation
1;165;171;-37;6;1;5;1.54098284093197;Kondo et al. (2022);Experiment 4;Orientation
1;3;176;-18;-7;1;5;1.1418679880444;Kondo et al. (2022);Experiment 4;Orientation
1;106;124;77;18;1;5;1.58901880995836;Kondo et al. (2022);Experiment 4;Orientation
1;9;7;-83;-2;1;6;1.90784460306168;Kondo et al. (2022);Experiment 4;Orientation
1;113;113;76;0;1;6;0.993315994972363;Kondo et al. (2022);Experiment 4;Orientation
1;95;89;18;-6;1;6;1.59935421205591;Kondo et al. (2022);Experiment 4;Orientation
1;161;161;-66;0;1;6;1.05068304110318;Kondo et al. (2022);Experiment 4;Orientation
1;43;41;-62;-2;1;6;0.652004807954654;Kondo et al. (2022);Experiment 4;Orientation
1;97;83;-54;-14;1;6;1.19077196100261;Kondo et al. (2022);Experiment 4;Orientation
1;158;167;-61;9;1;6;0.932338011916727;Kondo et al. (2022);Experiment 4;Orientation
1;117;141;41;24;1;6;0.91111827804707;Kondo et al. (2022);Experiment 4;Orientation
1;173;8;-56;15;1;6;0.692323541967198;Kondo et al. (2022);Experiment 4;Orientation
1;73;52;-80;-21;1;6;0.663073949050158;Kondo et al. (2022);Experiment 4;Orientation
1;100;88;-27;-12;1;6;1.55014366691466;Kondo et al. (2022);Experiment 4;Orientation
1;121;124;-21;3;1;6;1.30876466701739;Kondo et al. (2022);Experiment 4;Orientation
1;167;1;-46;14;1;6;0.740270684007555;Kondo et al. (2022);Experiment 4;Orientation
1;90;91;77;1;1;6;1.00225679390132;Kondo et al. (2022);Experiment 4;Orientation
1;131;140;-41;9;1;6;1.06193864298984;Kondo et al. (2022);Experiment 4;Orientation
1;135;151;-4;16;1;6;0.861735500046052;Kondo et al. (2022);Experiment 4;Orientation
1;4;13;-49;9;1;6;0.965871596941724;Kondo et al. (2022);Experiment 4;Orientation
1;13;24;-9;11;1;6;0.978264459990896;Kondo et al. (2022);Experiment 4;Orientation
1;64;54;-51;-10;1;6;0.978119993000291;Kondo et al. (2022);Experiment 4;Orientation
1;54;50;10;-4;1;6;0.987335685989819;Kondo et al. (2022);Experiment 4;Orientation
1;58;34;-4;-24;1;6;1.15199535095599;Kondo et al. (2022);Experiment 4;Orientation
1;171;159;67;-12;1;6;1.78224203095306;Kondo et al. (2022);Experiment 4;Orientation
1;8;30;-17;22;1;6;0.701928245951422;Kondo et al. (2022);Experiment 4;Orientation
1;161;140;27;-21;1;6;1.10288302903064;Kondo et al. (2022);Experiment 4;Orientation
1;75;59;86;-16;1;6;1.27782038901933;Kondo et al. (2022);Experiment 4;Orientation
1;78;57;-3;-21;1;6;1.33074803196359;Kondo et al. (2022);Experiment 4;Orientation
1;75;63;3;-12;1;6;1.05990030593239;Kondo et al. (2022);Experiment 4;Orientation
1;150;139;-75;-11;1;6;0.661258975975215;Kondo et al. (2022);Experiment 4;Orientation
1;136;146;14;10;1;6;0.980496355914511;Kondo et al. (2022);Experiment 4;Orientation
1;33;45;-77;12;1;6;1.64573489199392;Kondo et al. (2022);Experiment 4;Orientation
1;10;12;23;2;1;6;1.14398853504099;Kondo et al. (2022);Experiment 4;Orientation
1;153;148;37;-5;1;6;0.792351385927759;Kondo et al. (2022);Experiment 4;Orientation
1;175;176;-22;1;1;6;1.55732044193428;Kondo et al. (2022);Experiment 4;Orientation
1;5;5;-10;0;1;6;1.36205939995125;Kondo et al. (2022);Experiment 4;Orientation
1;19;48;-14;29;1;6;0.710786823998205;Kondo et al. (2022);Experiment 4;Orientation
1;53;32;-34;-21;1;6;1.14778579596896;Kondo et al. (2022);Experiment 4;Orientation
1;160;161;73;1;1;6;1.16125679796096;Kondo et al. (2022);Experiment 4;Orientation
1;18;16;-38;-2;1;6;1.11864631494973;Kondo et al. (2022);Experiment 4;Orientation
1;135;143;63;8;1;6;0.961745326058008;Kondo et al. (2022);Experiment 4;Orientation
1;8;18;-53;10;1;6;1.1746674629394;Kondo et al. (2022);Experiment 4;Orientation
1;144;161;44;17;1;6;1.77642391994596;Kondo et al. (2022);Experiment 4;Orientation
1;20;14;-56;-6;1;6;1.17853396700229;Kondo et al. (2022);Experiment 4;Orientation
1;73;72;-53;-1;1;6;1.28152236400638;Kondo et al. (2022);Experiment 4;Orientation
1;123;129;-50;6;1;6;0.917258066940121;Kondo et al. (2022);Experiment 4;Orientation
1;124;117;-1;-7;1;6;1.25793827394955;Kondo et al. (2022);Experiment 4;Orientation
1;55;55;69;0;1;6;1.07486015500035;Kondo et al. (2022);Experiment 4;Orientation
1;28;25;27;-3;1;6;0.880003669997677;Kondo et al. (2022);Experiment 4;Orientation
1;93;92;-65;-1;1;6;1.25164878403302;Kondo et al. (2022);Experiment 4;Orientation
1;33;53;60;20;1;6;0.862163802026771;Kondo et al. (2022);Experiment 4;Orientation
1;21;44;12;23;1;6;1.0064149829559;Kondo et al. (2022);Experiment 4;Orientation
1;175;157;26;-18;1;7;1.14844894292764;Kondo et al. (2022);Experiment 4;Orientation
1;170;156;5;-14;1;7;1.36109165602829;Kondo et al. (2022);Experiment 4;Orientation
1;2;162;-12;-20;1;7;0.76628197892569;Kondo et al. (2022);Experiment 4;Orientation
