obs;theta;resp;error;rt;block;delta;trial;study;experiment;stimulus
1;85;89;4;2.96014250069857;1;36;27;Houborg et al. (2023b);Experiment 2;Orientation
1;131;126;-5;1.9093530010432;1;-46;28;Houborg et al. (2023b);Experiment 2;Orientation
1;119;123;4;1.55913539975882;1;12;29;Houborg et al. (2023b);Experiment 2;Orientation
1;141;131;-10;2.94346079975367;1;-22;30;Houborg et al. (2023b);Experiment 2;Orientation
1;135;128;-7;1.74288970045745;1;6;31;Houborg et al. (2023b);Experiment 2;Orientation
1;160;151;-9;1.04193739965558;1;-25;32;Houborg et al. (2023b);Experiment 2;Orientation
1;173;173;0;1.10875450074673;1;-13;33;Houborg et al. (2023b);Experiment 2;Orientation
1;154;162;8;1.82596800103784;1;19;34;Houborg et al. (2023b);Experiment 2;Orientation
1;119;114;-5;2.74336560070515;1;35;35;Houborg et al. (2023b);Experiment 2;Orientation
1;71;77;6;1.44271139986813;1;48;36;Houborg et al. (2023b);Experiment 2;Orientation
1;143;131;-12;1.77604079991579;1;-72;37;Houborg et al. (2023b);Experiment 2;Orientation
1;84;82;-2;1.62568579986691;1;59;38;Houborg et al. (2023b);Experiment 2;Orientation
1;167;160;-7;1.67196599952877;1;-83;39;Houborg et al. (2023b);Experiment 2;Orientation
1;102;91;-11;3.15816069953144;1;65;40;Houborg et al. (2023b);Experiment 2;Orientation
1;128;125;-3;2.26016240008175;1;-26;41;Houborg et al. (2023b);Experiment 2;Orientation
1;43;53;10;1.42568800039589;1;85;42;Houborg et al. (2023b);Experiment 2;Orientation
1;142;125;-17;2.75987419858575;1;81;43;Houborg et al. (2023b);Experiment 2;Orientation
1;160;152;-8;1.92194579914212;1;-18;44;Houborg et al. (2023b);Experiment 2;Orientation
1;135;132;-3;2.37643229961395;1;25;45;Houborg et al. (2023b);Experiment 2;Orientation
1;172;177;5;1.80960539914668;1;-37;46;Houborg et al. (2023b);Experiment 2;Orientation
1;36;47;11;2.07624410092831;1;-44;47;Houborg et al. (2023b);Experiment 2;Orientation
1;41;43;2;1.42230440117419;1;-5;48;Houborg et al. (2023b);Experiment 2;Orientation
1;102;102;0;3.26051149889827;1;-61;49;Houborg et al. (2023b);Experiment 2;Orientation
1;39;52;13;2.30963189899921;1;63;50;Houborg et al. (2023b);Experiment 2;Orientation
1;112;106;-6;1.80905089899898;1;-73;51;Houborg et al. (2023b);Experiment 2;Orientation
1;40;39;-1;2.37643500044942;1;72;52;Houborg et al. (2023b);Experiment 2;Orientation
1;23;18;-5;3.17758719995618;1;17;53;Houborg et al. (2023b);Experiment 2;Orientation
1;76;80;4;2.9597532004118;1;-53;54;Houborg et al. (2023b);Experiment 2;Orientation
1;155;151;-4;1.15874740108848;1;-79;55;Houborg et al. (2023b);Experiment 2;Orientation
1;62;67;5;1.30553780123591;1;-87;56;Houborg et al. (2023b);Experiment 2;Orientation
1;30;34;4;1.37533950060606;1;32;57;Houborg et al. (2023b);Experiment 2;Orientation
1;146;139;-7;0.775101998820901;1;64;58;Houborg et al. (2023b);Experiment 2;Orientation
1;119;113;-6;1.77251419983804;1;27;59;Houborg et al. (2023b);Experiment 2;Orientation
1;18;29;11;2.05937690101564;1;-79;60;Houborg et al. (2023b);Experiment 2;Orientation
1;24;32;8;0.858769500628114;1;-6;61;Houborg et al. (2023b);Experiment 2;Orientation
1;50;52;2;1.69258520007133;1;-26;62;Houborg et al. (2023b);Experiment 2;Orientation
1;176;176;0;1.94305250048637;1;54;63;Houborg et al. (2023b);Experiment 2;Orientation
1;62;71;9;1.45901839993894;1;-66;64;Houborg et al. (2023b);Experiment 2;Orientation
1;60;66;6;1.79255229979753;1;2;65;Houborg et al. (2023b);Experiment 2;Orientation
1;176;173;-3;1.12539459951222;1;64;66;Houborg et al. (2023b);Experiment 2;Orientation
1;87;91;4;3.04354059882462;1;89;67;Houborg et al. (2023b);Experiment 2;Orientation
1;156;145;-11;1.6426128000021;1;-69;68;Houborg et al. (2023b);Experiment 2;Orientation
1;90;89;-1;2.32407779991627;1;66;69;Houborg et al. (2023b);Experiment 2;Orientation
1;37;34;-3;1.65908079966903;1;53;70;Houborg et al. (2023b);Experiment 2;Orientation
1;179;178;-1;2.71006710082293;1;38;71;Houborg et al. (2023b);Experiment 2;Orientation
1;135;127;-8;0.888625498861074;1;44;72;Houborg et al. (2023b);Experiment 2;Orientation
1;21;18;-3;2.02613210119307;1;-66;73;Houborg et al. (2023b);Experiment 2;Orientation
1;60;74;14;1.02093929983675;1;-39;74;Houborg et al. (2023b);Experiment 2;Orientation
1;141;121;-20;2.77680229954422;1;-81;75;Houborg et al. (2023b);Experiment 2;Orientation
1;69;70;1;2.09278880059719;1;72;76;Houborg et al. (2023b);Experiment 2;Orientation
1;139;126;-13;3.02438249997795;1;-70;77;Houborg et al. (2023b);Experiment 2;Orientation
1;7;16;9;2.50982530042529;1;-48;78;Houborg et al. (2023b);Experiment 2;Orientation
1;90;85;-5;1.1419872995466;1;-83;79;Houborg et al. (2023b);Experiment 2;Orientation
1;127;126;-1;2.47651540115476;1;-37;80;Houborg et al. (2023b);Experiment 2;Orientation
1;13;11;-2;1.1906649004668;1;-66;81;Houborg et al. (2023b);Experiment 2;Orientation
1;148;137;-11;2.10955150052905;1;45;82;Houborg et al. (2023b);Experiment 2;Orientation
1;82;81;-1;1.97622709907591;1;66;83;Houborg et al. (2023b);Experiment 2;Orientation
1;59;64;5;1.575828300789;1;23;84;Houborg et al. (2023b);Experiment 2;Orientation
1;33;51;18;2.75997320003808;1;26;85;Houborg et al. (2023b);Experiment 2;Orientation
1;136;124;-12;1.35468290001154;1;77;86;Houborg et al. (2023b);Experiment 2;Orientation
1;71;75;4;0.975103300064802;1;65;87;Houborg et al. (2023b);Experiment 2;Orientation
1;147;127;-20;2.80916900001466;1;-76;88;Houborg et al. (2023b);Experiment 2;Orientation
1;27;37;10;1.15883330069482;1;-60;89;Houborg et al. (2023b);Experiment 2;Orientation
1;16;23;7;0.975326700136065;1;11;90;Houborg et al. (2023b);Experiment 2;Orientation
1;65;75;10;2.69139330089092;1;-49;91;Houborg et al. (2023b);Experiment 2;Orientation
1;141;129;-12;1.20481719821692;1;-76;92;Houborg et al. (2023b);Experiment 2;Orientation
1;2;2;0;2.00941749848425;1;-41;93;Houborg et al. (2023b);Experiment 2;Orientation
1;36;38;2;2.19136209972203;1;-34;94;Houborg et al. (2023b);Experiment 2;Orientation
1;20;17;-3;1.77628850005567;1;16;95;Houborg et al. (2023b);Experiment 2;Orientation
1;52;51;-1;1.5591925997287;1;-32;96;Houborg et al. (2023b);Experiment 2;Orientation
1;48;60;12;1.42537730000913;1;4;97;Houborg et al. (2023b);Experiment 2;Orientation
1;90;91;1;2.40980079956353;1;-42;98;Houborg et al. (2023b);Experiment 2;Orientation
1;41;46;5;3.37746319919825;1;49;99;Houborg et al. (2023b);Experiment 2;Orientation
1;31;34;3;2.79174279980361;1;10;100;Houborg et al. (2023b);Experiment 2;Orientation
1;163;140;-23;3.37740620039403;2;48;101;Houborg et al. (2023b);Experiment 2;Orientation
1;170;162;-8;2.12655469961464;2;-7;102;Houborg et al. (2023b);Experiment 2;Orientation
1;141;134;-7;1.47581450082362;2;29;103;Houborg et al. (2023b);Experiment 2;Orientation
1;128;123;-5;1.00734570063651;2;13;104;Houborg et al. (2023b);Experiment 2;Orientation
1;166;153;-13;2.47654789872468;2;-38;105;Houborg et al. (2023b);Experiment 2;Orientation
1;68;73;5;1.7258291002363;2;-82;106;Houborg et al. (2023b);Experiment 2;Orientation
1;116;112;-4;1.60950089991093;2;-48;107;Houborg et al. (2023b);Experiment 2;Orientation
1;166;157;-9;1.0573789998889;2;-50;108;Houborg et al. (2023b);Experiment 2;Orientation
1;36;53;17;2.00942839868367;2;-50;109;Houborg et al. (2023b);Experiment 2;Orientation
1;113;110;-3;1.90618500113487;2;-77;110;Houborg et al. (2023b);Experiment 2;Orientation
1;31;31;0;1.52581949904561;2;82;111;Houborg et al. (2023b);Experiment 2;Orientation
1;61;67;6;1.49257980100811;2;-30;112;Houborg et al. (2023b);Experiment 2;Orientation
1;33;49;16;2.65992269851267;2;28;113;Houborg et al. (2023b);Experiment 2;Orientation
1;33;46;13;0.758574100211263;2;0;114;Houborg et al. (2023b);Experiment 2;Orientation
1;59;55;-4;1.32562109827995;2;-26;115;Houborg et al. (2023b);Experiment 2;Orientation
1;126;117;-9;1.77375200018287;2;-67;116;Houborg et al. (2023b);Experiment 2;Orientation
1;134;125;-9;0.908464800566435;2;-8;117;Houborg et al. (2023b);Experiment 2;Orientation
1;21;40;19;2.2095953989774;2;-67;118;Houborg et al. (2023b);Experiment 2;Orientation
1;79;79;0;2.50988120026886;2;-58;119;Houborg et al. (2023b);Experiment 2;Orientation
1;115;116;1;2.12663980014622;2;-36;120;Houborg et al. (2023b);Experiment 2;Orientation
1;99;99;0;2.25983819924295;2;16;121;Houborg et al. (2023b);Experiment 2;Orientation
1;45;48;3;1.69241189956665;2;54;122;Houborg et al. (2023b);Experiment 2;Orientation
1;83;82;-1;1.80705540068448;2;-38;123;Houborg et al. (2023b);Experiment 2;Orientation
1;0;2;2;2.77681530080736;2;83;124;Houborg et al. (2023b);Experiment 2;Orientation
1;77;80;3;4.24080839939415;2;-77;125;Houborg et al. (2023b);Experiment 2;Orientation
1;129;124;-5;1.90921230055392;2;-52;126;Houborg et al. (2023b);Experiment 2;Orientation
1;61;78;17;2.96031579934061;2;68;127;Houborg et al. (2023b);Experiment 2;Orientation
1;71;69;-2;1.62581000104547;2;-10;128;Houborg et al. (2023b);Experiment 2;Orientation
1;142;141;-1;2.32639300078154;2;-71;129;Houborg et al. (2023b);Experiment 2;Orientation
1;145;136;-9;1.24201229959726;2;-3;130;Houborg et al. (2023b);Experiment 2;Orientation
1;121;122;1;1.37549320049584;2;24;131;Houborg et al. (2023b);Experiment 2;Orientation
1;55;49;-6;1.52566689997911;2;66;132;Houborg et al. (2023b);Experiment 2;Orientation
1;129;131;2;1.99275900050998;2;-74;133;Houborg et al. (2023b);Experiment 2;Orientation
1;59;54;-5;1.84242399968207;2;70;134;Houborg et al. (2023b);Experiment 2;Orientation
1;141;133;-8;2.14272050000727;2;-82;135;Houborg et al. (2023b);Experiment 2;Orientation
1;100;99;-1;1.8069189991802;2;41;136;Houborg et al. (2023b);Experiment 2;Orientation
1;169;171;2;0.806160900741816;2;-69;137;Houborg et al. (2023b);Experiment 2;Orientation
1;11;15;4;1.72607879899442;2;-22;138;Houborg et al. (2023b);Experiment 2;Orientation
1;84;82;-2;2.19283200055361;2;-73;139;Houborg et al. (2023b);Experiment 2;Orientation
1;19;19;0;0.841730400919914;2;65;140;Houborg et al. (2023b);Experiment 2;Orientation
1;23;28;5;1.52569030039012;2;-4;141;Houborg et al. (2023b);Experiment 2;Orientation
1;22;32;10;2.56031029857695;2;1;142;Houborg et al. (2023b);Experiment 2;Orientation
1;108;106;-2;2.3763388004154;2;-86;143;Houborg et al. (2023b);Experiment 2;Orientation
1;59;69;10;2.2931334991008;2;49;144;Houborg et al. (2023b);Experiment 2;Orientation
1;172;174;2;1.02118900045753;2;67;145;Houborg et al. (2023b);Experiment 2;Orientation
1;93;97;4;1.10867140069604;2;79;146;Houborg et al. (2023b);Experiment 2;Orientation
1;99;97;-2;2.67671579867601;2;-6;147;Houborg et al. (2023b);Experiment 2;Orientation
1;55;71;16;1.27538750134408;2;44;148;Houborg et al. (2023b);Experiment 2;Orientation
1;1;6;5;2.20914419926703;2;54;149;Houborg et al. (2023b);Experiment 2;Orientation
1;139;133;-6;2.20969309844077;2;42;150;Houborg et al. (2023b);Experiment 2;Orientation
1;89;87;-2;1.94260839931667;2;50;151;Houborg et al. (2023b);Experiment 2;Orientation
1;27;34;7;2.19295119866729;2;62;152;Houborg et al. (2023b);Experiment 2;Orientation
1;98;98;0;1.60891370102763;2;-71;153;Houborg et al. (2023b);Experiment 2;Orientation
1;22;31;9;2.49339690059423;2;76;154;Houborg et al. (2023b);Experiment 2;Orientation
1;35;39;4;2.35965389944613;2;-13;155;Houborg et al. (2023b);Experiment 2;Orientation
1;26;30;4;1.90019110031426;2;9;156;Houborg et al. (2023b);Experiment 2;Orientation
1;152;143;-9;1.47202820144594;2;54;157;Houborg et al. (2023b);Experiment 2;Orientation
1;80;80;0;1.75547030009329;2;72;158;Houborg et al. (2023b);Experiment 2;Orientation
1;36;44;8;1.74291019886732;2;44;159;Houborg et al. (2023b);Experiment 2;Orientation
1;76;69;-7;1.27549860067666;2;-40;160;Houborg et al. (2023b);Experiment 2;Orientation
1;144;142;-2;1.27561530098319;2;-68;161;Houborg et al. (2023b);Experiment 2;Orientation
1;157;145;-12;1.54237410053611;2;-13;162;Houborg et al. (2023b);Experiment 2;Orientation
1;170;163;-7;1.78896350041032;2;-13;163;Houborg et al. (2023b);Experiment 2;Orientation
1;107;34;-73;1.34206089936197;2;63;164;Houborg et al. (2023b);Experiment 2;Orientation
1;52;56;4;2.6743746008724;2;55;165;Houborg et al. (2023b);Experiment 2;Orientation
1;136;129;-7;1.90485619939864;2;-84;166;Houborg et al. (2023b);Experiment 2;Orientation
1;54;60;6;2.67444580048323;2;82;167;Houborg et al. (2023b);Experiment 2;Orientation
1;20;41;21;2.30973329953849;2;34;168;Houborg et al. (2023b);Experiment 2;Orientation
1;70;70;0;1.69265370070934;2;-50;169;Houborg et al. (2023b);Experiment 2;Orientation
1;141;123;-18;3.32727090083063;2;-71;170;Houborg et al. (2023b);Experiment 2;Orientation
1;133;125;-8;1.14043240062892;2;8;171;Houborg et al. (2023b);Experiment 2;Orientation
1;136;128;-8;2.05972659960389;2;-3;172;Houborg et al. (2023b);Experiment 2;Orientation
1;100;98;-2;2.12607569992542;2;36;173;Houborg et al. (2023b);Experiment 2;Orientation
1;101;100;-1;2.00946060009301;2;-1;174;Houborg et al. (2023b);Experiment 2;Orientation
1;45;46;1;2.86011239886284;2;56;175;Houborg et al. (2023b);Experiment 2;Orientation
1;26;42;16;1.94003389962018;2;19;176;Houborg et al. (2023b);Experiment 2;Orientation
1;72;71;-1;2.00942350178957;2;-46;177;Houborg et al. (2023b);Experiment 2;Orientation
1;63;62;-1;2.62664229981601;2;9;178;Houborg et al. (2023b);Experiment 2;Orientation
1;108;111;3;2.590944301337;2;-45;179;Houborg et al. (2023b);Experiment 2;Orientation
1;116;114;-2;1.49223589897156;2;-8;180;Houborg et al. (2023b);Experiment 2;Orientation
1;35;43;8;1.94271959923208;2;81;181;Houborg et al. (2023b);Experiment 2;Orientation
1;110;104;-6;2.44324810057878;2;-75;182;Houborg et al. (2023b);Experiment 2;Orientation
1;82;81;-1;1.70965520106256;2;28;183;Houborg et al. (2023b);Experiment 2;Orientation
1;137;125;-12;1.35878559947014;2;-55;184;Houborg et al. (2023b);Experiment 2;Orientation
1;70;69;-1;1.25497590005398;2;67;185;Houborg et al. (2023b);Experiment 2;Orientation
1;160;150;-10;2.60987979918718;2;-90;186;Houborg et al. (2023b);Experiment 2;Orientation
1;10;16;6;1.60781239904463;2;-30;187;Houborg et al. (2023b);Experiment 2;Orientation
1;142;138;-4;2.0395422000438;2;48;188;Houborg et al. (2023b);Experiment 2;Orientation
1;94;95;1;0.941909100860357;2;48;189;Houborg et al. (2023b);Experiment 2;Orientation
1;6;18;12;1.07515609823167;2;88;190;Houborg et al. (2023b);Experiment 2;Orientation
1;17;14;-3;1.44233189895749;2;-11;191;Houborg et al. (2023b);Experiment 2;Orientation
1;40;43;3;1.90941040031612;2;-23;192;Houborg et al. (2023b);Experiment 2;Orientation
1;179;179;0;1.50938570126891;2;41;193;Houborg et al. (2023b);Experiment 2;Orientation
1;115;107;-8;1.34210770018399;2;64;194;Houborg et al. (2023b);Experiment 2;Orientation
1;39;49;10;2.65639419853687;2;76;195;Houborg et al. (2023b);Experiment 2;Orientation
1;55;74;19;3.34399240091443;2;-16;196;Houborg et al. (2023b);Experiment 2;Orientation
1;167;158;-9;2.72650410048664;2;68;197;Houborg et al. (2023b);Experiment 2;Orientation
1;25;30;5;1.49135399982333;2;-38;198;Houborg et al. (2023b);Experiment 2;Orientation
1;148;138;-10;1.74263030104339;2;57;199;Houborg et al. (2023b);Experiment 2;Orientation
1;104;102;-2;1.92652380093932;2;44;200;Houborg et al. (2023b);Experiment 2;Orientation
1;174;176;2;1.37469079904258;3;-70;201;Houborg et al. (2023b);Experiment 2;Orientation
1;147;139;-8;2.29123220033944;3;27;202;Houborg et al. (2023b);Experiment 2;Orientation
1;113;107;-6;2.15953920036554;3;34;203;Houborg et al. (2023b);Experiment 2;Orientation
1;125;114;-11;2.10906329937279;3;-12;204;Houborg et al. (2023b);Experiment 2;Orientation
1;120;117;-3;1.90590570122004;3;5;205;Houborg et al. (2023b);Experiment 2;Orientation
1;95;93;-2;2.59361919946969;3;25;206;Houborg et al. (2023b);Experiment 2;Orientation
1;56;60;4;1.7758761998266;3;39;207;Houborg et al. (2023b);Experiment 2;Orientation
1;174;177;3;2.94347249902785;3;62;208;Houborg et al. (2023b);Experiment 2;Orientation
1;19;23;4;1.75905019976199;3;-25;209;Houborg et al. (2023b);Experiment 2;Orientation
1;60;54;-6;1.79158790037036;3;-41;210;Houborg et al. (2023b);Experiment 2;Orientation
1;15;24;9;2.07635219953954;3;45;211;Houborg et al. (2023b);Experiment 2;Orientation
1;90;87;-3;1.1421560999006;3;-75;212;Houborg et al. (2023b);Experiment 2;Orientation
1;125;122;-3;2.39321220107377;3;-35;213;Houborg et al. (2023b);Experiment 2;Orientation
1;139;130;-9;2.74348320066929;3;-14;214;Houborg et al. (2023b);Experiment 2;Orientation
1;121;122;1;1.42558019980788;3;18;215;Houborg et al. (2023b);Experiment 2;Orientation
1;13;24;11;2.27643129974604;3;-72;216;Houborg et al. (2023b);Experiment 2;Orientation
1;110;108;-2;1.10869159922004;3;83;217;Houborg et al. (2023b);Experiment 2;Orientation
1;155;149;-6;0.858874401077628;3;-45;218;Houborg et al. (2023b);Experiment 2;Orientation
1;172;160;-12;2.5265468005091;3;-17;219;Houborg et al. (2023b);Experiment 2;Orientation
1;136;129;-7;1.75917989946902;3;36;220;Houborg et al. (2023b);Experiment 2;Orientation
1;55;54;-1;1.20897870138288;3;81;221;Houborg et al. (2023b);Experiment 2;Orientation
1;95;97;2;1.77592409960926;3;-40;222;Houborg et al. (2023b);Experiment 2;Orientation
1;26;38;12;2.67664860002697;3;69;223;Houborg et al. (2023b);Experiment 2;Orientation
1;15;23;8;2.69329520128667;3;11;224;Houborg et al. (2023b);Experiment 2;Orientation
1;157;152;-5;2.0904676001519;3;38;225;Houborg et al. (2023b);Experiment 2;Orientation
1;107;107;0;2.37629020027816;3;50;226;Houborg et al. (2023b);Experiment 2;Orientation
1;115;109;-6;0.991902800276875;3;-8;227;Houborg et al. (2023b);Experiment 2;Orientation
1;54;61;7;1.70560180023313;3;61;228;Houborg et al. (2023b);Experiment 2;Orientation
1;3;11;8;1.57577800005674;3;51;229;Houborg et al. (2023b);Experiment 2;Orientation
1;124;125;1;0.958508098497987;3;59;230;Houborg et al. (2023b);Experiment 2;Orientation
1;31;41;10;2.74316709861159;3;-87;231;Houborg et al. (2023b);Experiment 2;Orientation
1;121;121;0;1.04210310056806;3;-90;232;Houborg et al. (2023b);Experiment 2;Orientation
1;101;99;-2;2.02614980004728;3;20;233;Houborg et al. (2023b);Experiment 2;Orientation
1;140;138;-2;1.50904680043459;3;-39;234;Houborg et al. (2023b);Experiment 2;Orientation
1;114;117;3;0.991893399506807;3;26;235;Houborg et al. (2023b);Experiment 2;Orientation
1;52;60;8;1.55912179872394;3;62;236;Houborg et al. (2023b);Experiment 2;Orientation
1;127;122;-5;1.27541710063815;3;-75;237;Houborg et al. (2023b);Experiment 2;Orientation
1;121;123;2;1.18810730054975;3;6;238;Houborg et al. (2023b);Experiment 2;Orientation
1;130;137;7;2.7409581001848;3;-9;239;Houborg et al. (2023b);Experiment 2;Orientation
1;60;72;12;1.85595799982548;3;70;240;Houborg et al. (2023b);Experiment 2;Orientation
1;161;160;-1;1.70964290015399;3;79;241;Houborg et al. (2023b);Experiment 2;Orientation
1;177;171;-6;1.40645629912615;3;-16;242;Houborg et al. (2023b);Experiment 2;Orientation
1;56;53;-3;1.1419028993696;3;-59;243;Houborg et al. (2023b);Experiment 2;Orientation
1;55;59;4;1.30907329916954;3;1;244;Houborg et al. (2023b);Experiment 2;Orientation
1;6;8;2;1.05535260029137;3;49;245;Houborg et al. (2023b);Experiment 2;Orientation
1;5;9;4;2.8932742010802;3;1;246;Houborg et al. (2023b);Experiment 2;Orientation
1;75;79;4;2.64247640036047;3;-70;247;Houborg et al. (2023b);Experiment 2;Orientation
1;80;85;5;3.37715389952064;3;-5;248;Houborg et al. (2023b);Experiment 2;Orientation
1;53;63;10;1.19221720099449;3;27;249;Houborg et al. (2023b);Experiment 2;Orientation
1;55;57;2;2.32640000060201;3;-2;250;Houborg et al. (2023b);Experiment 2;Orientation
1;47;44;-3;2.1098024006933;3;8;251;Houborg et al. (2023b);Experiment 2;Orientation
1;132;138;6;1.52415850013494;3;-85;252;Houborg et al. (2023b);Experiment 2;Orientation
1;122;129;7;1.50890449993312;3;10;253;Houborg et al. (2023b);Experiment 2;Orientation
1;32;44;12;1.14214619994164;3;90;254;Houborg et al. (2023b);Experiment 2;Orientation
1;115;112;-3;1.39231090061367;3;-83;255;Houborg et al. (2023b);Experiment 2;Orientation
1;55;62;7;2.87689550034702;3;60;256;Houborg et al. (2023b);Experiment 2;Orientation
1;98;97;-1;2.71003419905901;3;-43;257;Houborg et al. (2023b);Experiment 2;Orientation
1;67;76;9;1.22583599947393;3;31;258;Houborg et al. (2023b);Experiment 2;Orientation
1;104;98;-6;1.27215749956667;3;-37;259;Houborg et al. (2023b);Experiment 2;Orientation
1;5;7;2;2.0928770005703;3;-81;260;Houborg et al. (2023b);Experiment 2;Orientation
1;150;150;0;1.8261660002172;3;35;261;Houborg et al. (2023b);Experiment 2;Orientation
1;83;84;1;2.39110499992967;3;67;262;Houborg et al. (2023b);Experiment 2;Orientation
1;101;100;-1;1.12096779979765;3;-18;263;Houborg et al. (2023b);Experiment 2;Orientation
1;133;123;-10;2.58909989893436;3;-32;264;Houborg et al. (2023b);Experiment 2;Orientation
1;148;141;-7;1.42549690045416;3;-15;265;Houborg et al. (2023b);Experiment 2;Orientation
1;74;78;4;1.12366489879787;3;74;266;Houborg et al. (2023b);Experiment 2;Orientation
1;75;81;6;2.17641039937735;3;-1;267;Houborg et al. (2023b);Experiment 2;Orientation
1;45;62;17;1.95804479904473;3;30;268;Houborg et al. (2023b);Experiment 2;Orientation
1;80;74;-6;1.02548919990659;3;-35;269;Houborg et al. (2023b);Experiment 2;Orientation
1;11;14;3;1.12533700093627;3;69;270;Houborg et al. (2023b);Experiment 2;Orientation
1;154;152;-2;3.04264960065484;3;37;271;Houborg et al. (2023b);Experiment 2;Orientation
1;115;112;-3;2.35964800044894;3;39;272;Houborg et al. (2023b);Experiment 2;Orientation
1;115;114;-1;2.97686690092087;3;0;273;Houborg et al. (2023b);Experiment 2;Orientation
1;102;100;-2;1.62254079990089;3;13;274;Houborg et al. (2023b);Experiment 2;Orientation
1;28;33;5;2.64314169995487;3;74;275;Houborg et al. (2023b);Experiment 2;Orientation
1;157;147;-10;2.15955989994109;3;51;276;Houborg et al. (2023b);Experiment 2;Orientation
1;95;93;-2;1.92609689943492;3;62;277;Houborg et al. (2023b);Experiment 2;Orientation
1;48;52;4;0.758805999532342;3;47;278;Houborg et al. (2023b);Experiment 2;Orientation
1;98;92;-6;1.50903700105846;3;-50;279;Houborg et al. (2023b);Experiment 2;Orientation
1;103;98;-5;1.40888950042427;3;-5;280;Houborg et al. (2023b);Experiment 2;Orientation
1;129;117;-12;1.22544809989631;3;-26;281;Houborg et al. (2023b);Experiment 2;Orientation
1;36;38;2;2.25972129963338;3;-87;282;Houborg et al. (2023b);Experiment 2;Orientation
1;2;6;4;1.17357750050724;3;34;283;Houborg et al. (2023b);Experiment 2;Orientation
1;95;94;-1;1.523606300354;3;87;284;Houborg et al. (2023b);Experiment 2;Orientation
1;83;88;5;2.77666969969869;3;12;285;Houborg et al. (2023b);Experiment 2;Orientation
1;44;43;-1;1.52579589933157;3;39;286;Houborg et al. (2023b);Experiment 2;Orientation
1;30;42;12;2.40972059965134;3;14;287;Houborg et al. (2023b);Experiment 2;Orientation
1;24;30;6;1.22583650052547;3;6;288;Houborg et al. (2023b);Experiment 2;Orientation
1;135;126;-9;0.991961000487208;3;69;289;Houborg et al. (2023b);Experiment 2;Orientation
1;169;168;-1;1.22537649981678;3;-34;290;Houborg et al. (2023b);Experiment 2;Orientation
1;62;67;5;1.17584190145135;3;-73;291;Houborg et al. (2023b);Experiment 2;Orientation
1;64;65;1;1.97457970120013;3;-2;292;Houborg et al. (2023b);Experiment 2;Orientation
1;115;114;-1;1.82596159912646;3;-51;293;Houborg et al. (2023b);Experiment 2;Orientation
1;100;98;-2;2.15544269979;3;15;294;Houborg et al. (2023b);Experiment 2;Orientation
1;177;176;-1;1.17538480088115;3;-77;295;Houborg et al. (2023b);Experiment 2;Orientation
1;0;2;2;2.3930837996304;3;-3;296;Houborg et al. (2023b);Experiment 2;Orientation
