obs;theta;resp;error;rt;block;delta;trial;cond;study;experiment;stimulus;expnum
1;115;133;18;1.22843971289603;1;77;41;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;92;121.5;29.5;3.39957041887283;1;23;42;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;27;48;21;1.5234227918545;1;65;43;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;122;136.5;14.5;1.90549209901565;1;85;44;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;53;NaN;NaN;2.00872310783325;1;69;45;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;105;114.5;9.5;1.5725653131376;1;-52;46;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;101;122;21;2.36959390169159;1;4;47;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;90;101;11;1.51058182227189;1;11;48;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;103;NaN;NaN;2.0086878699185;1;-13;49;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;80;72.5;-7.5;1.28172457072014;1;23;50;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;175;174.5;-0.5;0.930324907087197;1;NaN;51;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;5;15.5;10.5;1.46546771301109;1;-10;52;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;8;26;18;2.53809989624278;1;-3;53;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;72;65;-7;1.94436772902191;1;-64;54;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;103;NaN;NaN;2.00870771262817;1;-31;55;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;20;46;26;1.24192351782494;1;83;56;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;74;NaN;NaN;2.00872242360219;1;-54;57;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;19;44.5;25.5;1.29565312602062;1;55;58;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;50;41;-9;3.18351513571724;1;-31;59;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;154;169;15;1.70757134121595;1;76;60;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;46;49.5;3.5;1.63496926416337;1;-72;61;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;11;28.5;17.5;2.68540771960761;1;35;62;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;105;136.5;31.5;0.893687397799113;1;86;63;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;53;38.5;-14.5;1.65383454859148;1;52;64;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;75;65.5;-9.5;1.96764254232949;1;-22;65;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;53;52;-1;1.30078554531156;1;22;66;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;93;NaN;NaN;2.00869402800163;1;-40;67;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;120;115.5;-4.5;1.80796689535509;1;-27;68;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;54;NaN;NaN;2.00868889626599;1;66;69;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;71;66;-5;1.4308935033323;1;-17;70;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;68;NaN;NaN;2.00870771262817;1;3;71;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;22;37;15;1.2693800109746;1;46;72;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;29;NaN;NaN;2.00871797609852;1;-7;73;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;129;130.5;1.5;2.21752690723315;1;80;74;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;8;NaN;NaN;2.00870429147108;1;-59;75;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;142;116;-26;1.53557884586553;1;46;76;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;172;159.5;-12.5;2.43798692964901;1;-30;77;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;71;65;-6;1.12873078490793;1;-79;78;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;45;NaN;NaN;2.00871763398209;1;26;79;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;108;122;14;1.83457904702937;1;-63;80;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;151;NaN;NaN;2.00869163319203;1;-43;81;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;91;103;12;1.22435895717626;1;60;82;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;93;NaN;NaN;2.00868923838152;1;-2;83;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;88;107;19;1.51841592901474;1;5;84;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;114;NaN;NaN;2.00869231742217;1;-26;85;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;24;65.5;41.5;1.32097071199769;1;90;86;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;0;NaN;NaN;2.00868855415047;1;24;87;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;107;117;10;1.18741764917286;1;73;88;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;57;NaN;NaN;2.00867965914313;1;50;89;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;177;169.5;-7.5;1.85935848505687;1;60;90;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;86;NaN;NaN;2.00869950185188;1;-89;91;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;115;115.5;0.5;2.52795274545042;1;-29;92;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;40;55.5;15.5;1.60656408425893;1;75;93;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;71;101;30;2.47427513883667;1;-31;94;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;23;55;32;1.75568204163665;1;48;95;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;137;143;6;1.48090362995663;1;66;96;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;110;NaN;NaN;2.00870737051173;1;27;97;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;135;119.5;-15.5;1.90081879895479;1;-25;98;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;56;61;5;1.38887211973542;1;79;99;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;47;56.5;9.5;1.41738951358002;1;9;100;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;78;84.5;6.5;1.49937103385946;1;NaN;101;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;0;0.5;0.5;2.17095299040557;1;78;102;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;113;NaN;NaN;2.00868102760614;1;67;103;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;76;72;-4;1.83575592493617;1;37;104;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;56;60;4;1.1177382662936;1;20;105;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;28;44;16;1.0449056032794;1;28;106;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;136;152;16;2.45527677141217;1;72;107;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;170;174;4;1.28103486552754;1;-34;108;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;78;62.5;-15.5;1.12151830233961;1;-88;109;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;29;35.5;6.5;0.928669067241572;1;49;110;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;52;NaN;NaN;2.00868615934087;1;-23;111;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;125;132.5;7.5;0.907112700947437;1;-73;112;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;55;NaN;NaN;2.0087381609228;1;70;113;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;34;67.5;33.5;1.14180370891609;1;21;114;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;169;152;-17;1.18869887235905;1;45;115;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;64;56;-8;2.41688934046942;1;-75;116;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;1;NaN;NaN;2.00873371341913;1;63;117;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;123;129.5;6.5;3.74266659306159;1;58;118;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;30;NaN;NaN;2.00867418529197;1;-87;119;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;105;116.5;11.5;0.936723154361061;1;-75;120;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;77;108;31;0.894632663397715;1;28;121;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;28;60;32;2.37457407950933;1;49;122;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;174;NaN;NaN;2.00870737051173;1;34;123;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;3;8.5;5.5;1.134595331735;1;-9;124;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;60;NaN;NaN;2.00869471223177;1;-57;125;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;9;16.5;7.5;2.29635685795438;1;51;126;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;105;NaN;NaN;2.00872652899034;1;84;127;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;53;33;-20;1.21184539228943;1;52;128;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;23;21;-2;1.42339774898846;1;30;129;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;37;32.5;-4.5;1.21049711443175;1;-14;130;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;47;NaN;NaN;2.00870737051173;1;-10;131;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;171;175;4;1.13743249699291;1;56;132;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;117;135;18;1.00766118079173;1;54;133;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;126;128;2;0.867206960658223;1;-9;134;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;87;NaN;NaN;2.00870018608293;1;39;135;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;97;109;12;1.44857609388691;1;-10;136;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;0;157;-23;1.10609128040142;1;-83;137;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;52;64;12;0.978064069890024;1;-52;138;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;73;NaN;NaN;2.00868684357192;1;-21;139;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;124;136;12;2.44966949557056;1;-51;140;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;54;NaN;NaN;2.00870429147108;1;70;141;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;15;22.5;7.5;1.37456039488279;1;39;142;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;139;NaN;NaN;2.00867007990382;1;56;143;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;94;106.5;12.5;1.99878259490561;1;45;144;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;104;NaN;NaN;2.0087213972547;1;-10;145;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;87;100;13;2.76588461516712;1;17;146;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;106;96;-10;1.23483077574019;1;-19;147;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;8;6.5;-1.5;2.41361939888884;1;-82;148;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;116;NaN;NaN;2.00871626551907;1;72;149;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;28;31.5;3.5;1.31588687313069;1;88;150;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;86;70.5;-15.5;1.3187815138208;1;NaN;151;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;33;54;21;1.66950652534979;1;53;152;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;29;38.5;9.5;2.57452392535288;1;4;153;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;140;146;6;0.971258704968932;1;69;154;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;91;NaN;NaN;2.00869881762083;1;49;155;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;47;34.5;-12.5;1.27577620555348;1;44;156;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;77;NaN;NaN;2.00872481841179;1;-30;157;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;158;149.5;-8.5;1.61612074340337;1;-81;158;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;22;22.5;0.5;1.77114909110787;1;-44;159;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;105;134;29;2.16015992522625;1;-83;160;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;148;154;6;1.30155462133916;1;-43;161;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;173;151.5;-21.5;0.925255094964086;1;-25;162;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;149;NaN;NaN;2.00872823956888;1;24;163;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;70;48;-22;1.15178767053385;1;79;164;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;12;27;15;0.917374802605991;1;58;165;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;23;33.5;10.5;1.10910703003901;1;-11;166;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;153;147.5;-5.5;1.32389956425322;1;50;167;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;153;144;-9;2.58670187476582;1;0;168;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;89;NaN;NaN;2.00871284436289;1;64;169;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;170;149;-21;2.0824309027339;1;-81;170;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;117;137.5;20.5;1.03527778407533;1;53;171;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;23;36;13;1.78178375673087;1;-86;172;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;116;149.5;33.5;0.978208784818889;1;87;173;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;161;146;-15;0.95882006341435;1;-45;174;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;31;NaN;NaN;2.00873337130361;1;-50;175;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;78;65;-13;1.19163969866349;1;-47;176;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;178;NaN;NaN;2.00853289152019;1;80;177;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;15;56;41;1.0794510752421;1;-17;178;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;133;NaN;NaN;2.00869779127333;1;62;179;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;71;69.5;-1.5;1.7795370831218;1;62;180;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;39;NaN;NaN;2.0087200287926;1;32;181;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;27;48;21;1.17950759275027;1;12;182;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;108;137;29;3.71229048477744;1;-81;183;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;129;134.5;5.5;1.83161461474265;1;-21;184;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;1;NaN;NaN;2.008742950542;1;-52;185;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;33;33;0;2.04543622468464;1;-32;186;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;108;NaN;NaN;2.00874329265753;1;-75;187;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;172;168;-4;0.923079581413731;1;-64;188;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;140;NaN;NaN;2.00871523917249;1;32;189;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;101;121;20;1.6213838508811;1;39;190;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;93;108.5;15.5;1.00868752780389;1;8;191;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;55;80;25;1.42074737888743;1;38;192;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;90;NaN;NaN;2.00869676492675;1;-35;193;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;143;133.5;-9.5;1.09849699674396;1;-53;194;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;68;NaN;NaN;2.00868615934087;1;75;195;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;104;117;13;1.52566809700147;1;-36;196;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;26;NaN;NaN;2.00870018608293;1;78;197;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;146;147.5;1.5;1.10400916442995;1;60;198;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;142;NaN;NaN;2.00869060684454;1;4;199;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;129;126;-3;1.0751708660855;1;13;200;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;98;106.5;8.5;0.754858226791839;2;NaN;201;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;36;58.5;22.5;1.14454816051602;2;62;202;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;34;38.5;4.5;0.958735902649096;2;2;203;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;150;156;6;0.885008265039687;2;64;204;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;90;NaN;NaN;2.0086882117248;2;60;205;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;50;74;24;1.78415838129149;2;40;206;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;51;NaN;NaN;2.00869368557505;2;-1;207;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;160;147.5;-12.5;1.16789002849509;2;71;208;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;0;NaN;NaN;2.00868136941062;2;-20;209;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;122;127;5;1.01662563739956;2;58;210;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;154;NaN;NaN;2.00869505403716;2;-32;211;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;39;24;-15;1.10311008413737;2;-65;212;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;54;NaN;NaN;2.00874021330674;2;-15;213;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;109;102.5;-6.5;1.71427441324158;2;-55;214;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;89;NaN;NaN;2.00872276540576;2;20;215;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;12;13;1;4.35699104430569;2;77;216;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;9;22;13;2.71447968264511;2;3;217;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;90;108.5;18.5;1.68948710655422;2;-81;218;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;71;NaN;NaN;2.00874602927252;2;19;219;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;133;131.5;-1.5;2.19768590860258;2;-62;220;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;58;74;16;2.5140758493053;2;75;221;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;36;40;4;2.36855147493407;2;22;222;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;84;NaN;NaN;2.00871113347421;2;-48;223;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;108;109;1;0.880904245454076;2;-24;224;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;13;42;29;0.761961916578002;2;-85;225;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;20;50;30;1.94348267547139;2;-7;226;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;28;35.5;7.5;1.95747418005521;2;-8;227;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;63;71;8;1.21069314640044;2;-35;228;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;37;NaN;NaN;2.00873234464598;2;26;229;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;55;56;1;1.45773658277358;2;-18;230;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;118;120.5;2.5;1.76309979329744;2;-63;231;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;155;110;-45;2.79237189431296;2;-37;232;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;159;NaN;NaN;2.00868547479877;2;-4;233;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;153;137.5;-15.5;3.09591778639333;2;6;234;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;161;142.5;-18.5;0.919657055934294;2;-8;235;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;71;74.5;3.5;1.70272150915844;2;90;236;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;117;NaN;NaN;2.00871866001944;2;-46;237;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;22;28;6;2.2098792532197;2;-85;238;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;67;NaN;NaN;2.00872823925965;2;-45;239;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;75;79.5;4.5;1.5368624635521;2;-8;240;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;37;NaN;NaN;2.00870873866552;2;38;241;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;25;42;17;1.56233879120009;2;12;242;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;5;28.5;23.5;1.83214797276378;2;20;243;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;86;82;-4;0.898387040457237;2;-81;244;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;60;75;15;1.25831222660236;2;26;245;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;64;57.5;-6.5;1.54832162794082;2;-4;246;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;164;NaN;NaN;2.00868307999008;2;80;247;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;56;64.5;8.5;1.78931132752223;2;-72;248;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;4;NaN;NaN;2.00868136941062;2;52;249;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;155;159.5;4.5;1.30918893222042;2;29;250;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;51;64;13;1.15498918866979;2;NaN;251;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;166;160;-6;1.89754064628869;2;65;252;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;109;131;22;0.665403873917967;2;57;253;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;115;120.5;5.5;0.970060615580223;2;-6;254;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;141;132;-9;1.13570002292545;2;-26;255;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;134;133.5;-0.5;1.27771634321107;2;7;256;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;157;NaN;NaN;2.00870463327738;2;-23;257;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;87;99;12;1.97791730195604;2;70;258;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;121;114;-7;1.08713499289479;2;-34;259;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;20;29;9;1.98321735792706;2;-79;260;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;25;NaN;NaN;2.00871147558973;2;-5;261;1;Pascucci et al. (2024);Experiment 1;Orientation;1
