obs;theta;resp;error;rt;block;delta;trial;study;experiment;stimulus;expnum
1;106;114;8;1.91230259999975;2;8;29;Houborg et al. (2023);Experiment 1;Orientation;1
1;70;82;12;3.51207189999968;2;36;30;Houborg et al. (2023);Experiment 1;Orientation;1
1;27;32;5;4.26438169999983;2;43;31;Houborg et al. (2023);Experiment 1;Orientation;1
1;147;148;1;4.5808063000004;2;60;32;Houborg et al. (2023);Experiment 1;Orientation;1
1;130;130;0;2.8115399999997;2;17;33;Houborg et al. (2023);Experiment 1;Orientation;1
1;145;147;2;2.44500619999963;2;-15;34;Houborg et al. (2023);Experiment 1;Orientation;1
1;93;90;-3;8.50132460000077;2;52;35;Houborg et al. (2023);Experiment 1;Orientation;1
1;26;22;-4;3.46320539999942;2;67;36;Houborg et al. (2023);Experiment 1;Orientation;1
1;96;112;16;2.41006039999957;2;-70;37;Houborg et al. (2023);Experiment 1;Orientation;1
1;86;98;12;4.08014259999982;2;10;38;Houborg et al. (2023);Experiment 1;Orientation;1
1;86;57;-29;10.1190803;2;0;39;Houborg et al. (2023);Experiment 1;Orientation;1
1;71;95;24;4.24682469999971;2;15;40;Houborg et al. (2023);Experiment 1;Orientation;1
1;40;45;5;2.71051890000035;3;31;41;Houborg et al. (2023);Experiment 1;Orientation;1
1;161;153;-8;2.61263589999999;3;59;42;Houborg et al. (2023);Experiment 1;Orientation;1
1;162;160;-2;2.21269279999979;3;-1;43;Houborg et al. (2023);Experiment 1;Orientation;1
1;2;10;8;3.5306086999999;3;-20;44;Houborg et al. (2023);Experiment 1;Orientation;1
1;58;0;-58;3.27958050000052;3;-56;45;Houborg et al. (2023);Experiment 1;Orientation;1
1;139;142;3;6.91566650000004;3;-81;46;Houborg et al. (2023);Experiment 1;Orientation;1
1;145;137;-8;2.31178379999983;3;-6;47;Houborg et al. (2023);Experiment 1;Orientation;1
1;44;52;8;2.89645759999985;3;-79;48;Houborg et al. (2023);Experiment 1;Orientation;1
1;155;156;1;2.83029090000036;3;69;49;Houborg et al. (2023);Experiment 1;Orientation;1
1;127;139;12;3.31317409999974;3;28;50;Houborg et al. (2023);Experiment 1;Orientation;1
1;111;133;22;18.6421958999999;3;16;51;Houborg et al. (2023);Experiment 1;Orientation;1
1;169;153;-16;2.67827540000053;3;-58;52;Houborg et al. (2023);Experiment 1;Orientation;1
1;140;173;33;1.96104300000025;3;29;53;Houborg et al. (2023);Experiment 1;Orientation;1
1;36;48;12;2.27899950000028;3;-76;54;Houborg et al. (2023);Experiment 1;Orientation;1
1;112;127;15;3.81424800000059;3;-76;55;Houborg et al. (2023);Experiment 1;Orientation;1
1;136;150;14;2.29590250000001;3;-24;56;Houborg et al. (2023);Experiment 1;Orientation;1
1;17;24;7;3.46268930000042;3;-61;57;Houborg et al. (2023);Experiment 1;Orientation;1
1;17;26;9;3.44454649999989;3;0;58;Houborg et al. (2023);Experiment 1;Orientation;1
1;166;165;-1;4.28040400000009;3;31;59;Houborg et al. (2023);Experiment 1;Orientation;1
1;48;47;-1;4.36459449999984;3;-62;60;Houborg et al. (2023);Experiment 1;Orientation;1
1;55;46;-9;2.24541190000036;4;-7;61;Houborg et al. (2023);Experiment 1;Orientation;1
1;18;24;6;2.93005369999992;4;37;62;Houborg et al. (2023);Experiment 1;Orientation;1
1;16;20;4;2.94558069999948;4;2;63;Houborg et al. (2023);Experiment 1;Orientation;1
1;59;35;-24;2.4948846999996;4;-43;64;Houborg et al. (2023);Experiment 1;Orientation;1
1;61;50;-11;3.78028830000039;4;-2;65;Houborg et al. (2023);Experiment 1;Orientation;1
1;148;145;-3;2.56176159999995;4;-87;66;Houborg et al. (2023);Experiment 1;Orientation;1
1;83;121;38;3.19650970000021;4;65;67;Houborg et al. (2023);Experiment 1;Orientation;1
1;38;37;-1;2.96349090000058;4;45;68;Houborg et al. (2023);Experiment 1;Orientation;1
1;52;47;-5;3.06166310000026;4;-14;69;Houborg et al. (2023);Experiment 1;Orientation;1
1;48;38;-10;3.77967010000066;4;4;70;Houborg et al. (2023);Experiment 1;Orientation;1
1;128;126;-2;3.11312989999988;4;-80;71;Houborg et al. (2023);Experiment 1;Orientation;1
1;21;31;10;28.9838921;4;-73;72;Houborg et al. (2023);Experiment 1;Orientation;1
1;149;146;-3;2.61306539999987;4;52;73;Houborg et al. (2023);Experiment 1;Orientation;1
1;178;1;3;2.69586319999962;4;-29;74;Houborg et al. (2023);Experiment 1;Orientation;1
1;27;39;12;2.89652139999998;4;-29;75;Houborg et al. (2023);Experiment 1;Orientation;1
1;1;44;43;6.48259289999987;4;26;76;Houborg et al. (2023);Experiment 1;Orientation;1
1;9;4;-5;3.41187690000061;4;-8;77;Houborg et al. (2023);Experiment 1;Orientation;1
1;106;120;14;3.88009559999955;4;83;78;Houborg et al. (2023);Experiment 1;Orientation;1
1;5;0;-5;2.61224279999988;4;-79;79;Houborg et al. (2023);Experiment 1;Orientation;1
1;81;44;-37;5.44877540000016;4;-76;80;Houborg et al. (2023);Experiment 1;Orientation;1
1;152;145;-7;3.02877960000023;5;-71;81;Houborg et al. (2023);Experiment 1;Orientation;1
1;129;130;1;2.77972640000007;5;23;82;Houborg et al. (2023);Experiment 1;Orientation;1
1;136;133;-3;3.28017949999958;5;-7;83;Houborg et al. (2023);Experiment 1;Orientation;1
1;121;109;-12;4.36420729999918;5;15;84;Houborg et al. (2023);Experiment 1;Orientation;1
1;178;177;-1;6.79989260000002;5;-57;85;Houborg et al. (2023);Experiment 1;Orientation;1
1;148;145;-3;2.91273329999967;5;30;86;Houborg et al. (2023);Experiment 1;Orientation;1
1;25;35;10;1.52835449999839;5;-57;87;Houborg et al. (2023);Experiment 1;Orientation;1
1;122;141;19;20.0945076999997;5;83;88;Houborg et al. (2023);Experiment 1;Orientation;1
1;120;136;16;1.52918349999891;5;2;89;Houborg et al. (2023);Experiment 1;Orientation;1
1;174;152;-22;78.7411147000003;5;-54;90;Houborg et al. (2023);Experiment 1;Orientation;1
1;89;95;6;1.07760280000002;5;85;91;Houborg et al. (2023);Experiment 1;Orientation;1
1;138;134;-4;1.94536940000035;5;-49;92;Houborg et al. (2023);Experiment 1;Orientation;1
1;62;62;0;2.5948204999986;5;76;93;Houborg et al. (2023);Experiment 1;Orientation;1
1;63;122;59;2.59452060000149;5;-1;94;Houborg et al. (2023);Experiment 1;Orientation;1
1;23;19;-4;2.44603169999937;5;40;95;Houborg et al. (2023);Experiment 1;Orientation;1
1;51;49;-2;3.21307250000064;5;-28;96;Houborg et al. (2023);Experiment 1;Orientation;1
1;50;34;-16;22.1608367999997;5;1;97;Houborg et al. (2023);Experiment 1;Orientation;1
1;4;177;-7;1.8283322999996;5;46;98;Houborg et al. (2023);Experiment 1;Orientation;1
1;42;42;0;5.99812620000012;5;-38;99;Houborg et al. (2023);Experiment 1;Orientation;1
1;4;19;15;8.50102020000122;5;38;100;Houborg et al. (2023);Experiment 1;Orientation;1
1;164;159;-5;2.5960369000004;6;20;101;Houborg et al. (2023);Experiment 1;Orientation;1
1;13;17;4;1.37777020000067;6;-29;102;Houborg et al. (2023);Experiment 1;Orientation;1
1;124;129;5;2.92881639999905;6;69;103;Houborg et al. (2023);Experiment 1;Orientation;1
1;21;41;20;2.39627690000088;6;-77;104;Houborg et al. (2023);Experiment 1;Orientation;1
1;141;139;-2;3.09516480000093;6;60;105;Houborg et al. (2023);Experiment 1;Orientation;1
1;114;118;4;2.22825889999876;6;27;106;Houborg et al. (2023);Experiment 1;Orientation;1
1;128;123;-5;1.79431750000003;6;-14;107;Houborg et al. (2023);Experiment 1;Orientation;1
1;73;64;-9;2.54504019999877;6;55;108;Houborg et al. (2023);Experiment 1;Orientation;1
1;129;134;5;4.36372959999971;6;-56;109;Houborg et al. (2023);Experiment 1;Orientation;1
1;113;140;27;2.52813720000086;6;16;110;Houborg et al. (2023);Experiment 1;Orientation;1
1;122;146;24;6.53205709999929;6;-9;111;Houborg et al. (2023);Experiment 1;Orientation;1
1;87;126;39;1.67764519999946;6;35;112;Houborg et al. (2023);Experiment 1;Orientation;1
1;101;108;7;2.8128772;6;-14;113;Houborg et al. (2023);Experiment 1;Orientation;1
1;57;41;-16;2.91284590000032;6;44;114;Houborg et al. (2023);Experiment 1;Orientation;1
1;122;134;12;4.8311563999996;6;-65;115;Houborg et al. (2023);Experiment 1;Orientation;1
1;15;18;3;2.82927179999933;6;-73;116;Houborg et al. (2023);Experiment 1;Orientation;1
1;10;30;20;2.91292229999999;6;5;117;Houborg et al. (2023);Experiment 1;Orientation;1
1;142;146;4;3.61323119999906;6;48;118;Houborg et al. (2023);Experiment 1;Orientation;1
1;110;148;38;5.0987669999995;6;32;119;Houborg et al. (2023);Experiment 1;Orientation;1
1;14;25;11;2.41230499999983;6;-84;120;Houborg et al. (2023);Experiment 1;Orientation;1
1;145;150;5;2.04470060000131;7;49;121;Houborg et al. (2023);Experiment 1;Orientation;1
1;98;106;8;1.7949865999999;7;47;122;Houborg et al. (2023);Experiment 1;Orientation;1
1;56;43;-13;2.36265300000014;7;42;123;Houborg et al. (2023);Experiment 1;Orientation;1
1;126;134;8;1.87940359999993;7;-70;124;Houborg et al. (2023);Experiment 1;Orientation;1
1;83;89;6;1.91152870000042;7;43;125;Houborg et al. (2023);Experiment 1;Orientation;1
1;46;41;-5;19.0761140999984;7;37;126;Houborg et al. (2023);Experiment 1;Orientation;1
1;90;94;4;1.56078259999958;7;-44;127;Houborg et al. (2023);Experiment 1;Orientation;1
1;7;30;23;1.99480260000018;7;83;128;Houborg et al. (2023);Experiment 1;Orientation;1
1;90;92;2;5.84766239999954;7;-83;129;Houborg et al. (2023);Experiment 1;Orientation;1
1;118;141;23;2.78030990000116;7;-28;130;Houborg et al. (2023);Experiment 1;Orientation;1
1;36;49;13;2.97981360000085;7;82;131;Houborg et al. (2023);Experiment 1;Orientation;1
1;123;131;8;3.41415469999993;7;-87;132;Houborg et al. (2023);Experiment 1;Orientation;1
1;162;140;-22;2.24576750000051;7;-39;133;Houborg et al. (2023);Experiment 1;Orientation;1
1;100;101;1;3.61314000000129;7;62;134;Houborg et al. (2023);Experiment 1;Orientation;1
1;104;120;16;3.96308929999941;7;-4;135;Houborg et al. (2023);Experiment 1;Orientation;1
1;22;143;-59;7.24872429999959;7;82;136;Houborg et al. (2023);Experiment 1;Orientation;1
1;57;43;-14;3.16376889999992;7;-35;137;Houborg et al. (2023);Experiment 1;Orientation;1
1;145;153;8;2.22806589999891;7;-88;138;Houborg et al. (2023);Experiment 1;Orientation;1
1;12;3;-9;3.62970660000065;7;-47;139;Houborg et al. (2023);Experiment 1;Orientation;1
1;164;159;-5;2.24529509999957;7;28;140;Houborg et al. (2023);Experiment 1;Orientation;1
1;132;137;5;2.62871919999998;8;32;141;Houborg et al. (2023);Experiment 1;Orientation;1
1;135;129;-6;2.79676319999999;8;-3;142;Houborg et al. (2023);Experiment 1;Orientation;1
1;84;85;1;1.59482309999839;8;51;143;Houborg et al. (2023);Experiment 1;Orientation;1
1;148;142;-6;2.44613219999883;8;-64;144;Houborg et al. (2023);Experiment 1;Orientation;1
1;60;28;-32;2.84598560000086;8;88;145;Houborg et al. (2023);Experiment 1;Orientation;1
1;27;29;2;2.41251220000049;8;33;146;Houborg et al. (2023);Experiment 1;Orientation;1
1;32;38;6;2.64521799999966;8;-5;147;Houborg et al. (2023);Experiment 1;Orientation;1
1;118;117;-1;5.64692880000075;8;-86;148;Houborg et al. (2023);Experiment 1;Orientation;1
1;67;77;10;2.2791073999997;8;51;149;Houborg et al. (2023);Experiment 1;Orientation;1
1;33;65;32;2.26317949999975;8;34;150;Houborg et al. (2023);Experiment 1;Orientation;1
1;50;54;4;2.32776080000076;8;-17;151;Houborg et al. (2023);Experiment 1;Orientation;1
1;29;33;4;2.46132029999899;8;21;152;Houborg et al. (2023);Experiment 1;Orientation;1
1;165;156;-9;3.76213430000098;8;44;153;Houborg et al. (2023);Experiment 1;Orientation;1
1;93;92;-1;1.79432789999919;8;72;154;Houborg et al. (2023);Experiment 1;Orientation;1
1;179;179;0;4.21335730000101;8;-86;155;Houborg et al. (2023);Experiment 1;Orientation;1
1;89;68;-21;2.99612589999924;8;90;156;Houborg et al. (2023);Experiment 1;Orientation;1
1;70;42;-28;3.51336690000062;8;19;157;Houborg et al. (2023);Experiment 1;Orientation;1
1;7;19;12;2.71152540000003;8;63;158;Houborg et al. (2023);Experiment 1;Orientation;1
1;128;155;27;2.71270460000051;8;59;159;Houborg et al. (2023);Experiment 1;Orientation;1
1;68;36;-32;2.64591370000016;8;60;160;Houborg et al. (2023);Experiment 1;Orientation;1
1;120;37;-83;4.87963330000093;9;-52;161;Houborg et al. (2023);Experiment 1;Orientation;1
1;101;116;15;2.52910960000008;9;19;162;Houborg et al. (2023);Experiment 1;Orientation;1
1;15;26;11;1.37725169999976;9;86;163;Houborg et al. (2023);Experiment 1;Orientation;1
1;115;123;8;1.97813730000053;9;80;164;Houborg et al. (2023);Experiment 1;Orientation;1
1;149;142;-7;2.37933909999992;9;-34;165;Houborg et al. (2023);Experiment 1;Orientation;1
1;138;134;-4;2.12859360000039;9;11;166;Houborg et al. (2023);Experiment 1;Orientation;1
1;66;65;-1;2.54598579999947;9;72;167;Houborg et al. (2023);Experiment 1;Orientation;1
1;102;102;0;2.69432219999908;9;-36;168;Houborg et al. (2023);Experiment 1;Orientation;1
1;163;157;-6;6.18135540000003;9;-61;169;Houborg et al. (2023);Experiment 1;Orientation;1
1;6;16;10;2.36189510000077;9;-23;170;Houborg et al. (2023);Experiment 1;Orientation;1
1;144;16;52;14.9216147000006;9;42;171;Houborg et al. (2023);Experiment 1;Orientation;1
1;180;173;-7;1.69610330000069;9;-36;172;Houborg et al. (2023);Experiment 1;Orientation;1
1;45;48;3;4.01448879999953;9;-45;173;Houborg et al. (2023);Experiment 1;Orientation;1
1;96;110;14;5.83063070000026;9;-51;174;Houborg et al. (2023);Experiment 1;Orientation;1
1;111;109;-2;3.07791320000069;9;-15;175;Houborg et al. (2023);Experiment 1;Orientation;1
1;159;149;-10;3.97958189999918;9;-48;176;Houborg et al. (2023);Experiment 1;Orientation;1
1;43;33;-10;3.54551390000051;9;-64;177;Houborg et al. (2023);Experiment 1;Orientation;1
1;70;48;-22;4.38054179999926;9;-27;178;Houborg et al. (2023);Experiment 1;Orientation;1
1;31;30;-1;3.08011429999897;9;39;179;Houborg et al. (2023);Experiment 1;Orientation;1
1;67;38;-29;2.52813760000026;9;-36;180;Houborg et al. (2023);Experiment 1;Orientation;1
1;12;37;25;7.38297690000036;10;55;181;Houborg et al. (2023);Experiment 1;Orientation;1
1;34;37;3;2.34370839999974;10;-22;182;Houborg et al. (2023);Experiment 1;Orientation;1
1;62;65;3;2.07920269999886;10;-28;183;Houborg et al. (2023);Experiment 1;Orientation;1
1;132;128;-4;1.96283089999997;10;-70;184;Houborg et al. (2023);Experiment 1;Orientation;1
1;148;137;-11;2.27974060000088;10;-16;185;Houborg et al. (2023);Experiment 1;Orientation;1
1;142;134;-8;2.83008370000061;10;6;186;Houborg et al. (2023);Experiment 1;Orientation;1
1;78;44;-34;4.11307970000053;10;64;187;Houborg et al. (2023);Experiment 1;Orientation;1
1;12;148;-44;4.6809118000001;10;66;188;Houborg et al. (2023);Experiment 1;Orientation;1
1;112;109;-3;2.11032290000003;10;80;189;Houborg et al. (2023);Experiment 1;Orientation;1
1;161;157;-4;4.41335489999983;10;-49;190;Houborg et al. (2023);Experiment 1;Orientation;1
1;43;43;0;2.19518770000104;10;-62;191;Houborg et al. (2023);Experiment 1;Orientation;1
1;49;32;-17;3.24695379999866;10;-6;192;Houborg et al. (2023);Experiment 1;Orientation;1
1;43;45;2;2.21147459999884;10;6;193;Houborg et al. (2023);Experiment 1;Orientation;1
1;16;29;13;2.19517189999897;10;27;194;Houborg et al. (2023);Experiment 1;Orientation;1
1;164;9;25;3.72982550000052;10;32;195;Houborg et al. (2023);Experiment 1;Orientation;1
1;89;83;-6;2.6453591999998;10;75;196;Houborg et al. (2023);Experiment 1;Orientation;1
1;11;17;6;4.29780380000011;10;78;197;Houborg et al. (2023);Experiment 1;Orientation;1
1;176;4;8;2.91136050000023;10;15;198;Houborg et al. (2023);Experiment 1;Orientation;1
1;91;86;-5;3.14694039999995;10;85;199;Houborg et al. (2023);Experiment 1;Orientation;1
1;40;37;-3;2.76291449999917;10;51;200;Houborg et al. (2023);Experiment 1;Orientation;1
2;36;22;-14;8.33285770000657;1;NaN;1;Houborg et al. (2023);Experiment 1;Orientation;1
2;72;60;-12;2.3158548999927;1;-36;2;Houborg et al. (2023);Experiment 1;Orientation;1
2;120;117;-3;2.14984960001311;1;-48;3;Houborg et al. (2023);Experiment 1;Orientation;1
2;15;34;19;2.16632419999223;1;-75;4;Houborg et al. (2023);Experiment 1;Orientation;1
2;171;163;-8;1.28317119998974;1;24;5;Houborg et al. (2023);Experiment 1;Orientation;1
2;71;70;-1;2.8007282000035;1;-80;6;Houborg et al. (2023);Experiment 1;Orientation;1
2;42;41;-1;2.68344090000028;1;29;7;Houborg et al. (2023);Experiment 1;Orientation;1
2;74;69;-5;3.0999232000031;1;-32;8;Houborg et al. (2023);Experiment 1;Orientation;1
2;98;117;19;3.81658909999533;1;-24;9;Houborg et al. (2023);Experiment 1;Orientation;1
2;13;39;26;3.76611629998661;1;85;10;Houborg et al. (2023);Experiment 1;Orientation;1
2;22;25;3;1.21793259997503;1;-9;11;Houborg et al. (2023);Experiment 1;Orientation;1
2;75;74;-1;2.66526760000852;1;-53;12;Houborg et al. (2023);Experiment 1;Orientation;1
2;37;41;4;3.08518920000643;1;38;13;Houborg et al. (2023);Experiment 1;Orientation;1
2;122;125;3;1.8823304999969;1;-85;14;Houborg et al. (2023);Experiment 1;Orientation;1
2;97;109;12;2.28341380000347;1;25;15;Houborg et al. (2023);Experiment 1;Orientation;1
2;11;18;7;4.74998039999628;1;86;16;Houborg et al. (2023);Experiment 1;Orientation;1
2;111;115;4;2.21669719999772;1;80;17;Houborg et al. (2023);Experiment 1;Orientation;1
2;1;4;3;4.96549760000198;1;-70;18;Houborg et al. (2023);Experiment 1;Orientation;1
2;78;100;22;3.516529000015;1;-77;19;Houborg et al. (2023);Experiment 1;Orientation;1
2;180;171;-9;4.16741140000522;1;78;20;Houborg et al. (2023);Experiment 1;Orientation;1
2;5;11;6;1.90033520001452;2;-5;21;Houborg et al. (2023);Experiment 1;Orientation;1
2;53;44;-9;2.81569049999234;2;-48;22;Houborg et al. (2023);Experiment 1;Orientation;1
2;123;125;2;3.5172836999991;2;-70;23;Houborg et al. (2023);Experiment 1;Orientation;1
2;66;51;-15;2.95004110000446;2;57;24;Houborg et al. (2023);Experiment 1;Orientation;1
2;100;67;-33;5.26807140000165;2;-34;25;Houborg et al. (2023);Experiment 1;Orientation;1
2;55;62;7;2.99994100001641;2;45;26;Houborg et al. (2023);Experiment 1;Orientation;1
2;114;124;10;2.79979399999138;2;-59;27;Houborg et al. (2023);Experiment 1;Orientation;1
2;9;10;1;3.09856189999846;2;-75;28;Houborg et al. (2023);Experiment 1;Orientation;1
2;157;154;-3;1.7833135999972;2;32;29;Houborg et al. (2023);Experiment 1;Orientation;1
2;170;163;-7;3.53467430002638;2;-13;30;Houborg et al. (2023);Experiment 1;Orientation;1
2;60;69;9;3.86804940001457;2;-70;31;Houborg et al. (2023);Experiment 1;Orientation;1
2;27;45;18;2.43459200000507;2;33;32;Houborg et al. (2023);Experiment 1;Orientation;1
2;55;34;-21;3.93413799998234;2;-28;33;Houborg et al. (2023);Experiment 1;Orientation;1
2;137;130;-7;1.93445279999287;2;-82;34;Houborg et al. (2023);Experiment 1;Orientation;1
2;42;49;7;2.25035040001967;2;-85;35;Houborg et al. (2023);Experiment 1;Orientation;1
2;31;41;10;4.40079829999013;2;11;36;Houborg et al. (2023);Experiment 1;Orientation;1
2;4;15;11;5.4999066000164;2;27;37;Houborg et al. (2023);Experiment 1;Orientation;1
2;152;150;-2;1.48403240001062;2;32;38;Houborg et al. (2023);Experiment 1;Orientation;1
2;26;33;7;4.51504289999139;2;-54;39;Houborg et al. (2023);Experiment 1;Orientation;1
2;130;132;2;3.34877559999586;2;76;40;Houborg et al. (2023);Experiment 1;Orientation;1
2;76;62;-14;1.91770540000289;3;54;41;Houborg et al. (2023);Experiment 1;Orientation;1
2;132;124;-8;4.09863170000608;3;-56;42;Houborg et al. (2023);Experiment 1;Orientation;1
2;179;10;11;2.80016770001384;3;-47;43;Houborg et al. (2023);Experiment 1;Orientation;1
2;16;28;12;1.53382389998296;3;-17;44;Houborg et al. (2023);Experiment 1;Orientation;1
2;7;6;-1;4.78257750000921;3;9;45;Houborg et al. (2023);Experiment 1;Orientation;1
2;124;127;3;4.08486100001028;3;63;46;Houborg et al. (2023);Experiment 1;Orientation;1
2;162;137;-25;3.43299699999625;3;-38;47;Houborg et al. (2023);Experiment 1;Orientation;1
2;164;172;8;4.86862130000372;3;-2;48;Houborg et al. (2023);Experiment 1;Orientation;1
2;80;68;-12;2.26614570000675;3;84;49;Houborg et al. (2023);Experiment 1;Orientation;1
2;161;153;-8;1.3502694000199;3;-81;50;Houborg et al. (2023);Experiment 1;Orientation;1
2;172;158;-14;2.83426800000598;3;-11;51;Houborg et al. (2023);Experiment 1;Orientation;1
2;57;50;-7;2.0667325000104;3;-65;52;Houborg et al. (2023);Experiment 1;Orientation;1
2;66;58;-8;4.06755780000822;3;-9;53;Houborg et al. (2023);Experiment 1;Orientation;1
2;54;39;-15;3.65213060000679;3;12;54;Houborg et al. (2023);Experiment 1;Orientation;1
2;13;21;8;2.06766420000349;3;41;55;Houborg et al. (2023);Experiment 1;Orientation;1
2;173;3;10;4.26569800000289;3;20;56;Houborg et al. (2023);Experiment 1;Orientation;1
2;29;27;-2;3.0322222999821;3;-36;57;Houborg et al. (2023);Experiment 1;Orientation;1
2;177;6;9;6.98474590000114;3;32;58;Houborg et al. (2023);Experiment 1;Orientation;1
2;136;136;0;2.21604430000298;3;41;59;Houborg et al. (2023);Experiment 1;Orientation;1
2;70;57;-13;2.8508109000104;3;66;60;Houborg et al. (2023);Experiment 1;Orientation;1
2;4;11;7;4.35168590000831;4;66;61;Houborg et al. (2023);Experiment 1;Orientation;1
2;81;59;-22;2.36708850000286;4;-77;62;Houborg et al. (2023);Experiment 1;Orientation;1
2;51;49;-2;3.53341340000043;4;30;63;Houborg et al. (2023);Experiment 1;Orientation;1
2;165;139;-26;2.31643629999598;4;66;64;Houborg et al. (2023);Experiment 1;Orientation;1
2;121;121;0;2.73433580002165;4;44;65;Houborg et al. (2023);Experiment 1;Orientation;1
2;2;0;-2;5.45068559999345;4;-61;66;Houborg et al. (2023);Experiment 1;Orientation;1
2;24;43;19;2.13472410000395;4;-22;67;Houborg et al. (2023);Experiment 1;Orientation;1
2;58;54;-4;2.93361020000884;4;-34;68;Houborg et al. (2023);Experiment 1;Orientation;1
2;48;41;-7;2.46734800000559;4;10;69;Houborg et al. (2023);Experiment 1;Orientation;1
2;4;10;6;7.01652410000679;4;44;70;Houborg et al. (2023);Experiment 1;Orientation;1
2;2;6;4;4.88497070001904;4;2;71;Houborg et al. (2023);Experiment 1;Orientation;1
2;54;64;10;2.58255419999477;4;-52;72;Houborg et al. (2023);Experiment 1;Orientation;1
2;125;127;2;5.41827749999356;4;-71;73;Houborg et al. (2023);Experiment 1;Orientation;1
2;47;46;-1;1.45044840002083;4;78;74;Houborg et al. (2023);Experiment 1;Orientation;1
2;11;16;5;2.66747439999017;4;36;75;Houborg et al. (2023);Experiment 1;Orientation;1
2;28;30;2;1.90069410001161;4;-17;76;Houborg et al. (2023);Experiment 1;Orientation;1
2;40;31;-9;6.20064289998845;4;-12;77;Houborg et al. (2023);Experiment 1;Orientation;1
2;73;80;7;2.24985410002409;4;-33;78;Houborg et al. (2023);Experiment 1;Orientation;1
2;86;95;9;3.68460479998612;4;-13;79;Houborg et al. (2023);Experiment 1;Orientation;1
2;2;2;0;3.25161269999808;4;84;80;Houborg et al. (2023);Experiment 1;Orientation;1
2;87;77;-10;1.83231440000236;5;-85;81;Houborg et al. (2023);Experiment 1;Orientation;1
2;121;145;24;2.53437710000435;5;-34;82;Houborg et al. (2023);Experiment 1;Orientation;1
2;150;152;2;3.84864260000177;5;-29;83;Houborg et al. (2023);Experiment 1;Orientation;1
2;165;162;-3;3.83515920001082;5;-15;84;Houborg et al. (2023);Experiment 1;Orientation;1
2;74;81;7;3.93501560000004;5;-89;85;Houborg et al. (2023);Experiment 1;Orientation;1
2;82;83;1;2.402490700013;5;-8;86;Houborg et al. (2023);Experiment 1;Orientation;1
2;53;30;-23;2.28495999998995;5;29;87;Houborg et al. (2023);Experiment 1;Orientation;1
2;109;121;12;3.95026179999695;5;-56;88;Houborg et al. (2023);Experiment 1;Orientation;1
2;133;129;-4;3.01683249999769;5;-24;89;Houborg et al. (2023);Experiment 1;Orientation;1
2;175;170;-5;1.88460759998998;5;-42;90;Houborg et al. (2023);Experiment 1;Orientation;1
