obs;theta;resp;delta;error;cond;block;rt;study;experiment;stimulus
1;114;134;44;20;1;1;2.41982373903738;Kondo et al. (2022);Experiment 2;Orientation
1;154;158;-40;4;1;1;1.25402681401465;Kondo et al. (2022);Experiment 2;Orientation
1;94;131;60;37;1;1;2.26454187603667;Kondo et al. (2022);Experiment 2;Orientation
1;74;46;20;-28;1;1;2.08192910300568;Kondo et al. (2022);Experiment 2;Orientation
1;57;55;17;-2;1;1;2.64287433499703;Kondo et al. (2022);Experiment 2;Orientation
1;148;140;89;-8;1;1;1.24553917295998;Kondo et al. (2022);Experiment 2;Orientation
1;97;134;51;37;1;1;3.69665279198671;Kondo et al. (2022);Experiment 2;Orientation
1;139;124;-42;-15;1;1;1.19275101699168;Kondo et al. (2022);Experiment 2;Orientation
1;49;53;90;4;1;1;0.997532559966203;Kondo et al. (2022);Experiment 2;Orientation
1;177;4;52;7;1;1;1.96247059502639;Kondo et al. (2022);Experiment 2;Orientation
1;10;28;-13;18;1;2;1.49701057898346;Kondo et al. (2022);Experiment 2;Orientation
1;11;42;-1;31;1;2;1.56025195104303;Kondo et al. (2022);Experiment 2;Orientation
1;24;33;-13;9;1;2;1.71100632002344;Kondo et al. (2022);Experiment 2;Orientation
1;122;131;82;9;1;2;1.03052500804188;Kondo et al. (2022);Experiment 2;Orientation
1;46;41;76;-5;1;2;1.9138633349794;Kondo et al. (2022);Experiment 2;Orientation
1;118;131;-72;13;1;2;1.3141392400139;Kondo et al. (2022);Experiment 2;Orientation
1;67;53;51;-14;1;2;2.26394026295748;Kondo et al. (2022);Experiment 2;Orientation
1;177;178;70;1;1;2;2.24284979503136;Kondo et al. (2022);Experiment 2;Orientation
1;144;156;33;12;1;2;0.677461599989329;Kondo et al. (2022);Experiment 2;Orientation
1;121;121;23;0;1;2;2.78309592203004;Kondo et al. (2022);Experiment 2;Orientation
1;50;149;71;-81;1;2;1.09980244102189;Kondo et al. (2022);Experiment 2;Orientation
1;123;117;-73;-6;1;2;1.32415422500344;Kondo et al. (2022);Experiment 2;Orientation
1;37;45;86;8;1;2;1.65923815203132;Kondo et al. (2022);Experiment 2;Orientation
1;55;142;-18;87;1;2;3.45382921001874;Kondo et al. (2022);Experiment 2;Orientation
1;47;48;8;1;1;2;1.9908042710158;Kondo et al. (2022);Experiment 2;Orientation
1;135;119;-88;-16;1;2;3.70829753502039;Kondo et al. (2022);Experiment 2;Orientation
1;178;56;-43;58;1;2;2.02070886397269;Kondo et al. (2022);Experiment 2;Orientation
1;4;174;-6;-10;1;2;2.8959064160008;Kondo et al. (2022);Experiment 2;Orientation
1;146;139;38;-7;1;2;2.12931089499034;Kondo et al. (2022);Experiment 2;Orientation
1;97;121;49;24;1;2;2.67975932202535;Kondo et al. (2022);Experiment 2;Orientation
1;23;18;74;-5;1;2;1.28873292199569;Kondo et al. (2022);Experiment 2;Orientation
1;71;78;-48;7;1;2;1.99376486300025;Kondo et al. (2022);Experiment 2;Orientation
1;48;74;23;26;1;2;2.0869986450416;Kondo et al. (2022);Experiment 2;Orientation
1;120;107;-72;-13;1;2;1.8715892219916;Kondo et al. (2022);Experiment 2;Orientation
1;70;97;50;27;1;2;3.21667298401007;Kondo et al. (2022);Experiment 2;Orientation
1;42;76;28;34;1;2;2.49302768998314;Kondo et al. (2022);Experiment 2;Orientation
1;31;80;11;49;1;2;2.53405198396649;Kondo et al. (2022);Experiment 2;Orientation
1;130;131;81;1;1;2;2.30075524101267;Kondo et al. (2022);Experiment 2;Orientation
1;34;79;-84;45;1;2;1.30909818300279;Kondo et al. (2022);Experiment 2;Orientation
1;60;56;-26;-4;1;2;1.00474675599253;Kondo et al. (2022);Experiment 2;Orientation
1;172;6;68;14;1;2;2.08058907702798;Kondo et al. (2022);Experiment 2;Orientation
1;98;116;74;18;1;2;2.0652176719741;Kondo et al. (2022);Experiment 2;Orientation
1;30;58;68;28;1;2;1.69976518902695;Kondo et al. (2022);Experiment 2;Orientation
1;157;135;53;-22;1;2;1.9231789400219;Kondo et al. (2022);Experiment 2;Orientation
1;127;157;30;30;1;2;1.4430724880076;Kondo et al. (2022);Experiment 2;Orientation
1;164;146;-37;-18;1;2;2.19787243899191;Kondo et al. (2022);Experiment 2;Orientation
1;115;129;49;14;1;2;0.921618363994639;Kondo et al. (2022);Experiment 2;Orientation
1;86;79;29;-7;1;2;8.2416191129596;Kondo et al. (2022);Experiment 2;Orientation
1;50;119;36;69;1;2;1.26762394298567;Kondo et al. (2022);Experiment 2;Orientation
1;157;135;73;-22;1;2;1.59031031298218;Kondo et al. (2022);Experiment 2;Orientation
1;122;109;35;-13;1;2;1.36276520101819;Kondo et al. (2022);Experiment 2;Orientation
1;123;110;-1;-13;1;2;1.14469510997878;Kondo et al. (2022);Experiment 2;Orientation
1;125;130;-2;5;1;2;0.999736229947302;Kondo et al. (2022);Experiment 2;Orientation
1;67;68;58;1;1;2;1.38790779199917;Kondo et al. (2022);Experiment 2;Orientation
1;85;62;-18;-23;1;2;2.00057466002181;Kondo et al. (2022);Experiment 2;Orientation
1;61;45;24;-16;1;2;1.87698873499176;Kondo et al. (2022);Experiment 2;Orientation
1;25;25;36;0;1;2;1.47837078198791;Kondo et al. (2022);Experiment 2;Orientation
1;47;35;-22;-12;1;2;2.45566417602822;Kondo et al. (2022);Experiment 2;Orientation
1;164;175;63;11;1;2;2.7132987860241;Kondo et al. (2022);Experiment 2;Orientation
1;24;134;-40;-70;1;2;1.56991097499849;Kondo et al. (2022);Experiment 2;Orientation
1;17;16;7;-1;1;3;1.87798884499352;Kondo et al. (2022);Experiment 2;Orientation
1;82;102;-65;20;1;3;2.58356849302072;Kondo et al. (2022);Experiment 2;Orientation
1;49;37;33;-12;1;3;1.36477392900269;Kondo et al. (2022);Experiment 2;Orientation
1;75;59;-26;-16;1;3;1.27412138902582;Kondo et al. (2022);Experiment 2;Orientation
1;69;55;6;-14;1;3;1.70797339599812;Kondo et al. (2022);Experiment 2;Orientation
1;94;104;-25;10;1;3;1.77104114502436;Kondo et al. (2022);Experiment 2;Orientation
1;157;139;-63;-18;1;3;2.29627356602577;Kondo et al. (2022);Experiment 2;Orientation
1;53;51;-76;-2;1;3;1.71318442700431;Kondo et al. (2022);Experiment 2;Orientation
1;138;135;-85;-3;1;3;1.77693034999538;Kondo et al. (2022);Experiment 2;Orientation
1;29;26;-71;-3;1;3;1.41445911501069;Kondo et al. (2022);Experiment 2;Orientation
1;168;150;41;-18;1;3;1.88222373800818;Kondo et al. (2022);Experiment 2;Orientation
1;87;102;81;15;1;3;1.7063329499797;Kondo et al. (2022);Experiment 2;Orientation
1;134;123;-47;-11;1;3;2.34749886702048;Kondo et al. (2022);Experiment 2;Orientation
1;146;141;-12;-5;1;3;1.55262575601228;Kondo et al. (2022);Experiment 2;Orientation
1;99;110;47;11;1;3;1.48719610495027;Kondo et al. (2022);Experiment 2;Orientation
1;57;71;42;14;1;3;1.84900227305479;Kondo et al. (2022);Experiment 2;Orientation
1;92;106;-35;14;1;3;1.03474848199403;Kondo et al. (2022);Experiment 2;Orientation
1;17;36;75;19;1;3;2.21406122203916;Kondo et al. (2022);Experiment 2;Orientation
1;166;144;31;-22;1;3;1.80179126397707;Kondo et al. (2022);Experiment 2;Orientation
1;88;119;78;31;1;3;1.98964745900594;Kondo et al. (2022);Experiment 2;Orientation
1;66;66;22;0;1;3;1.40305411699228;Kondo et al. (2022);Experiment 2;Orientation
1;115;100;-49;-15;1;3;2.27226121496642;Kondo et al. (2022);Experiment 2;Orientation
1;82;74;33;-8;1;3;1.77689646504587;Kondo et al. (2022);Experiment 2;Orientation
1;140;129;-58;-11;1;3;1.64575105899712;Kondo et al. (2022);Experiment 2;Orientation
1;153;120;-13;-33;1;3;0.969730367010925;Kondo et al. (2022);Experiment 2;Orientation
1;155;113;-2;-42;1;3;2.73385016695829;Kondo et al. (2022);Experiment 2;Orientation
1;36;64;-61;28;1;3;2.20536404801533;Kondo et al. (2022);Experiment 2;Orientation
1;29;32;7;3;1;3;1.14593830000376;Kondo et al. (2022);Experiment 2;Orientation
1;116;121;-87;5;1;3;1.14403728500474;Kondo et al. (2022);Experiment 2;Orientation
1;122;130;-6;8;1;3;2.19976308202604;Kondo et al. (2022);Experiment 2;Orientation
1;54;58;68;4;1;3;2.73987058200873;Kondo et al. (2022);Experiment 2;Orientation
1;101;116;-47;15;1;3;1.86592402000679;Kondo et al. (2022);Experiment 2;Orientation
1;63;70;38;7;1;3;1.38006363098975;Kondo et al. (2022);Experiment 2;Orientation
1;106;107;-43;1;1;3;3.48877019097563;Kondo et al. (2022);Experiment 2;Orientation
1;34;58;72;24;1;3;2.17804288398474;Kondo et al. (2022);Experiment 2;Orientation
1;134;115;80;-19;1;3;1.47835013899021;Kondo et al. (2022);Experiment 2;Orientation
1;60;70;74;10;1;3;2.5043856970151;Kondo et al. (2022);Experiment 2;Orientation
1;15;31;45;16;1;3;2.89623556798324;Kondo et al. (2022);Experiment 2;Orientation
1;85;70;-70;-15;1;3;2.59290543798124;Kondo et al. (2022);Experiment 2;Orientation
1;140;126;-55;-14;1;3;1.70178777800174;Kondo et al. (2022);Experiment 2;Orientation
1;50;66;90;16;1;3;1.54160217399476;Kondo et al. (2022);Experiment 2;Orientation
1;112;127;-62;15;1;3;1.90122246305691;Kondo et al. (2022);Experiment 2;Orientation
1;18;33;-86;15;1;3;1.13223842997104;Kondo et al. (2022);Experiment 2;Orientation
1;86;82;-68;-4;1;3;1.1080735080177;Kondo et al. (2022);Experiment 2;Orientation
1;89;85;-3;-4;1;3;1.37916019995464;Kondo et al. (2022);Experiment 2;Orientation
1;78;66;11;-12;1;3;1.81766620301642;Kondo et al. (2022);Experiment 2;Orientation
1;82;15;-4;-67;1;3;0.173019233974628;Kondo et al. (2022);Experiment 2;Orientation
1;61;73;21;12;1;3;1.48227953998139;Kondo et al. (2022);Experiment 2;Orientation
1;7;47;54;40;1;3;2.32358663901687;Kondo et al. (2022);Experiment 2;Orientation
1;91;79;-84;-12;1;3;1.9548648680211;Kondo et al. (2022);Experiment 2;Orientation
1;74;84;17;10;1;4;1.60110477398848;Kondo et al. (2022);Experiment 2;Orientation
1;14;41;60;27;1;4;1.60450281895464;Kondo et al. (2022);Experiment 2;Orientation
1;112;101;82;-11;1;4;2.49005346302874;Kondo et al. (2022);Experiment 2;Orientation
1;30;61;82;31;1;4;2.55385651200777;Kondo et al. (2022);Experiment 2;Orientation
1;85;90;-55;5;1;4;2.23247894301312;Kondo et al. (2022);Experiment 2;Orientation
1;38;63;47;25;1;4;2.13836719101528;Kondo et al. (2022);Experiment 2;Orientation
1;89;98;-51;9;1;4;2.12179328000639;Kondo et al. (2022);Experiment 2;Orientation
1;62;72;27;10;1;4;1.60162884602323;Kondo et al. (2022);Experiment 2;Orientation
1;10;34;52;24;1;4;1.53363972500665;Kondo et al. (2022);Experiment 2;Orientation
1;175;11;15;16;1;4;3.99608369800262;Kondo et al. (2022);Experiment 2;Orientation
1;123;108;52;-15;1;4;1.64292901597219;Kondo et al. (2022);Experiment 2;Orientation
1;36;31;87;-5;1;4;2.85232772899326;Kondo et al. (2022);Experiment 2;Orientation
1;65;50;-29;-15;1;4;1.57369381299941;Kondo et al. (2022);Experiment 2;Orientation
1;103;116;-38;13;1;4;0.899969897000119;Kondo et al. (2022);Experiment 2;Orientation
1;134;105;-31;-29;1;4;1.84395798604237;Kondo et al. (2022);Experiment 2;Orientation
1;139;135;-5;-4;1;4;2.27788371202769;Kondo et al. (2022);Experiment 2;Orientation
1;85;74;54;-11;1;4;1.91177364299074;Kondo et al. (2022);Experiment 2;Orientation
1;122;126;-37;4;1;4;2.28775382903405;Kondo et al. (2022);Experiment 2;Orientation
1;169;161;-47;-8;1;4;2.65697257401189;Kondo et al. (2022);Experiment 2;Orientation
1;1;179;-12;-2;1;4;3.93170216301223;Kondo et al. (2022);Experiment 2;Orientation
1;3;179;-2;-4;1;4;1.07364806596888;Kondo et al. (2022);Experiment 2;Orientation
1;174;177;9;3;1;4;1.56343010999262;Kondo et al. (2022);Experiment 2;Orientation
1;78;78;-84;0;1;4;2.26491602999158;Kondo et al. (2022);Experiment 2;Orientation
1;175;177;83;2;1;4;2.667137010023;Kondo et al. (2022);Experiment 2;Orientation
1;161;165;14;4;1;4;1.58878370700404;Kondo et al. (2022);Experiment 2;Orientation
1;179;164;-18;-15;1;4;1.56875363300787;Kondo et al. (2022);Experiment 2;Orientation
1;147;147;32;0;1;4;1.39826538501075;Kondo et al. (2022);Experiment 2;Orientation
1;158;157;-11;-1;1;4;0.762584549025632;Kondo et al. (2022);Experiment 2;Orientation
1;155;146;3;-9;1;4;1.77698891999898;Kondo et al. (2022);Experiment 2;Orientation
1;99;131;56;32;1;4;1.93471719301306;Kondo et al. (2022);Experiment 2;Orientation
1;106;139;-7;33;1;4;0.701705958985258;Kondo et al. (2022);Experiment 2;Orientation
1;110;120;-4;10;1;4;0.630413169972599;Kondo et al. (2022);Experiment 2;Orientation
1;30;41;80;11;1;4;1.62531911401311;Kondo et al. (2022);Experiment 2;Orientation
1;26;37;4;11;1;4;1.70863151003141;Kondo et al. (2022);Experiment 2;Orientation
1;13;33;13;20;1;4;1.09220839000773;Kondo et al. (2022);Experiment 2;Orientation
1;136;126;57;-10;1;4;1.40414788102498;Kondo et al. (2022);Experiment 2;Orientation
1;2;177;-46;-5;1;4;1.65784899698338;Kondo et al. (2022);Experiment 2;Orientation
1;160;31;22;51;1;4;6.77010389597854;Kondo et al. (2022);Experiment 2;Orientation
1;145;45;15;80;1;4;1.16011502098991;Kondo et al. (2022);Experiment 2;Orientation
1;45;36;-80;-9;1;4;2.35968037700513;Kondo et al. (2022);Experiment 2;Orientation
1;138;130;87;-8;1;4;1.62968328595161;Kondo et al. (2022);Experiment 2;Orientation
1;30;28;-72;-2;1;4;1.76812375098234;Kondo et al. (2022);Experiment 2;Orientation
1;71;45;-41;-26;1;4;1.74200037197443;Kondo et al. (2022);Experiment 2;Orientation
1;138;123;-67;-15;1;4;0.813143583014607;Kondo et al. (2022);Experiment 2;Orientation
1;99;123;39;24;1;4;3.08793319499819;Kondo et al. (2022);Experiment 2;Orientation
1;107;107;-8;0;1;4;1.21697310300078;Kondo et al. (2022);Experiment 2;Orientation
1;9;10;-82;1;1;4;1.23718627495691;Kondo et al. (2022);Experiment 2;Orientation
1;68;49;-59;-19;1;4;1.6402751270216;Kondo et al. (2022);Experiment 2;Orientation
1;88;78;-20;-10;1;4;2.3788832789869;Kondo et al. (2022);Experiment 2;Orientation
1;119;100;-31;-19;1;4;1.72827354102628;Kondo et al. (2022);Experiment 2;Orientation
1;62;59;57;-3;1;5;1.44223320804304;Kondo et al. (2022);Experiment 2;Orientation
1;89;87;-27;-2;1;5;1.75039086298784;Kondo et al. (2022);Experiment 2;Orientation
1;173;161;-84;-12;1;5;1.72465890203603;Kondo et al. (2022);Experiment 2;Orientation
1;99;120;74;21;1;5;1.01176863600267;Kondo et al. (2022);Experiment 2;Orientation
1;34;48;65;14;1;5;1.76755829399917;Kondo et al. (2022);Experiment 2;Orientation
1;16;28;18;12;1;5;1.93378077604575;Kondo et al. (2022);Experiment 2;Orientation
1;23;24;-7;1;1;5;1.52475115197012;Kondo et al. (2022);Experiment 2;Orientation
1;22;43;1;21;1;5;1.3787548080436;Kondo et al. (2022);Experiment 2;Orientation
1;60;57;-38;-3;1;5;1.51277531898813;Kondo et al. (2022);Experiment 2;Orientation
1;4;43;56;39;1;5;1.5852166370023;Kondo et al. (2022);Experiment 2;Orientation
1;139;140;45;1;1;5;1.98879315698287;Kondo et al. (2022);Experiment 2;Orientation
1;129;125;10;-4;1;5;1.5625649849535;Kondo et al. (2022);Experiment 2;Orientation
1;41;55;88;14;1;5;1.14409311697818;Kondo et al. (2022);Experiment 2;Orientation
1;175;175;46;0;1;5;3.11041622300399;Kondo et al. (2022);Experiment 2;Orientation
1;161;152;14;-9;1;5;1.31944394897437;Kondo et al. (2022);Experiment 2;Orientation
1;103;106;58;3;1;5;1.63092481700005;Kondo et al. (2022);Experiment 2;Orientation
1;122;108;-19;-14;1;5;2.8492292399751;Kondo et al. (2022);Experiment 2;Orientation
1;170;167;-48;-3;1;5;2.30021037301049;Kondo et al. (2022);Experiment 2;Orientation
1;162;144;8;-18;1;5;0.980540014978033;Kondo et al. (2022);Experiment 2;Orientation
1;85;77;77;-8;1;5;1.03282831801334;Kondo et al. (2022);Experiment 2;Orientation
1;102;114;-17;12;1;5;1.78036153397989;Kondo et al. (2022);Experiment 2;Orientation
1;177;0;-75;3;1;5;1.22511571296491;Kondo et al. (2022);Experiment 2;Orientation
1;116;117;61;1;1;5;1.06940551899606;Kondo et al. (2022);Experiment 2;Orientation
1;124;118;-8;-6;1;5;0.989541946968529;Kondo et al. (2022);Experiment 2;Orientation
1;141;128;-17;-13;1;5;0.883137420983985;Kondo et al. (2022);Experiment 2;Orientation
1;173;179;-32;6;1;5;2.14023124298546;Kondo et al. (2022);Experiment 2;Orientation
1;53;7;-60;-46;1;5;0.326499129994772;Kondo et al. (2022);Experiment 2;Orientation
1;179;174;54;-5;1;5;2.85079994599801;Kondo et al. (2022);Experiment 2;Orientation
1;45;34;-46;-11;1;5;1.69285849301377;Kondo et al. (2022);Experiment 2;Orientation
1;67;34;-22;-33;1;5;1.89266762998886;Kondo et al. (2022);Experiment 2;Orientation
1;90;77;-23;-13;1;5;2.59028510103235;Kondo et al. (2022);Experiment 2;Orientation
1;108;109;-18;1;1;5;2.09049523400608;Kondo et al. (2022);Experiment 2;Orientation
1;3;18;-75;15;1;5;2.09155867097434;Kondo et al. (2022);Experiment 2;Orientation
1;17;61;-14;44;1;5;1.32370118401013;Kondo et al. (2022);Experiment 2;Orientation
1;87;67;-70;-20;1;5;1.50764500797959;Kondo et al. (2022);Experiment 2;Orientation
1;163;129;-76;-34;1;5;1.33957747498062;Kondo et al. (2022);Experiment 2;Orientation
1;27;50;-44;23;1;5;1.60948001901852;Kondo et al. (2022);Experiment 2;Orientation
1;128;115;79;-13;1;5;0.918005329032894;Kondo et al. (2022);Experiment 2;Orientation
1;84;72;44;-12;1;5;1.04561470501358;Kondo et al. (2022);Experiment 2;Orientation
1;93;93;-9;0;1;5;1.58363817399368;Kondo et al. (2022);Experiment 2;Orientation
1;42;66;51;24;1;5;2.62114344298607;Kondo et al. (2022);Experiment 2;Orientation
1;159;118;63;-41;1;5;2.22417126095388;Kondo et al. (2022);Experiment 2;Orientation
1;119;118;40;-1;1;5;1.83555069600698;Kondo et al. (2022);Experiment 2;Orientation
1;150;153;-31;3;1;5;2.10289536096388;Kondo et al. (2022);Experiment 2;Orientation
1;39;48;-69;9;1;5;0.84667413297575;Kondo et al. (2022);Experiment 2;Orientation
1;177;177;42;0;1;5;1.0262150450144;Kondo et al. (2022);Experiment 2;Orientation
1;41;136;-44;-85;1;5;1.85264964797534;Kondo et al. (2022);Experiment 2;Orientation
1;132;124;89;-8;1;5;1.50373539602151;Kondo et al. (2022);Experiment 2;Orientation
1;92;103;40;11;1;5;0.967623542004731;Kondo et al. (2022);Experiment 2;Orientation
1;27;64;65;37;1;5;1.6776588880457;Kondo et al. (2022);Experiment 2;Orientation
1;167;126;40;-41;1;6;0.654546738020144;Kondo et al. (2022);Experiment 2;Orientation
1;3;165;-16;-18;1;6;1.21600258297985;Kondo et al. (2022);Experiment 2;Orientation
1;34;51;-31;17;1;6;0.852132013009395;Kondo et al. (2022);Experiment 2;Orientation
1;74;31;-40;-43;1;6;1.81461980903987;Kondo et al. (2022);Experiment 2;Orientation
1;147;121;-73;-26;1;6;2.12360573298065;Kondo et al. (2022);Experiment 2;Orientation
1;156;136;-9;-20;1;6;1.0580915879691;Kondo et al. (2022);Experiment 2;Orientation
1;65;58;-89;-7;1;6;1.65921556000831;Kondo et al. (2022);Experiment 2;Orientation
1;31;48;34;17;1;6;0.710088785039261;Kondo et al. (2022);Experiment 2;Orientation
1;92;103;-61;11;1;6;2.58112319000065;Kondo et al. (2022);Experiment 2;Orientation
1;7;41;85;34;1;6;1.81097366299946;Kondo et al. (2022);Experiment 2;Orientation
1;173;160;14;-13;1;6;3.59913461800897;Kondo et al. (2022);Experiment 2;Orientation
1;18;35;-25;17;1;6;1.06763145502191;Kondo et al. (2022);Experiment 2;Orientation
1;16;34;2;18;1;6;1.1730515829986;Kondo et al. (2022);Experiment 2;Orientation
1;133;143;63;10;1;6;1.7541216170066;Kondo et al. (2022);Experiment 2;Orientation
1;122;116;11;-6;1;6;1.80057435599156;Kondo et al. (2022);Experiment 2;Orientation
1;50;54;72;4;1;6;1.26150660798885;Kondo et al. (2022);Experiment 2;Orientation
1;69;43;-19;-26;1;6;2.48659594397759;Kondo et al. (2022);Experiment 2;Orientation
1;74;63;-5;-11;1;6;2.08788394002477;Kondo et al. (2022);Experiment 2;Orientation
1;108;78;-34;-30;1;6;1.58435424696654;Kondo et al. (2022);Experiment 2;Orientation
1;76;78;32;2;1;6;2.3260546940146;Kondo et al. (2022);Experiment 2;Orientation
1;91;82;-15;-9;1;6;1.61294837098103;Kondo et al. (2022);Experiment 2;Orientation
1;90;73;1;-17;1;6;1.3206835599849;Kondo et al. (2022);Experiment 2;Orientation
1;26;43;64;17;1;6;1.28122799901757;Kondo et al. (2022);Experiment 2;Orientation
1;58;54;-32;-4;1;6;1.26561661699088;Kondo et al. (2022);Experiment 2;Orientation
1;36;48;22;12;1;6;1.12348260404542;Kondo et al. (2022);Experiment 2;Orientation
1;41;36;-5;-5;1;6;1.26658437500009;Kondo et al. (2022);Experiment 2;Orientation
1;94;123;-53;29;1;6;0.804317593981978;Kondo et al. (2022);Experiment 2;Orientation
1;61;54;33;-7;1;6;1.34425833099522;Kondo et al. (2022);Experiment 2;Orientation
1;95;124;-34;29;1;6;0.622429786948487;Kondo et al. (2022);Experiment 2;Orientation
1;9;25;86;16;1;6;1.46637395303696;Kondo et al. (2022);Experiment 2;Orientation
1;105;114;84;9;1;6;2.27698886604048;Kondo et al. (2022);Experiment 2;Orientation
1;127;120;-22;-7;1;6;0.798095422971528;Kondo et al. (2022);Experiment 2;Orientation
1;155;138;-28;-17;1;6;1.48238507396309;Kondo et al. (2022);Experiment 2;Orientation
1;152;134;3;-18;1;6;1.43482518102974;Kondo et al. (2022);Experiment 2;Orientation
1;135;111;17;-24;1;6;2.8692357140244;Kondo et al. (2022);Experiment 2;Orientation
1;175;148;-40;-27;1;6;2.35133164399303;Kondo et al. (2022);Experiment 2;Orientation
1;130;129;45;-1;1;6;0.814257210004143;Kondo et al. (2022);Experiment 2;Orientation
1;37;39;-87;2;1;6;1.16937098698691;Kondo et al. (2022);Experiment 2;Orientation
1;87;60;-50;-27;1;6;1.84737572399899;Kondo et al. (2022);Experiment 2;Orientation
1;90;58;-3;-32;1;6;1.36225087702041;Kondo et al. (2022);Experiment 2;Orientation
1;155;138;-65;-17;1;6;1.78344918397488;Kondo et al. (2022);Experiment 2;Orientation
1;141;137;14;-4;1;6;2.11587739997776;Kondo et al. (2022);Experiment 2;Orientation
1;158;145;-17;-13;1;6;0.827767086972017;Kondo et al. (2022);Experiment 2;Orientation
1;115;126;43;11;1;6;4.24733201798517;Kondo et al. (2022);Experiment 2;Orientation
1;99;128;16;29;1;6;1.59385826601647;Kondo et al. (2022);Experiment 2;Orientation
1;81;70;18;-11;1;6;0.877680260979105;Kondo et al. (2022);Experiment 2;Orientation
1;123;108;-42;-15;1;6;1.3358122750069;Kondo et al. (2022);Experiment 2;Orientation
1;86;51;37;-35;1;6;1.75058403500589;Kondo et al. (2022);Experiment 2;Orientation
1;172;164;-86;-8;1;6;1.95705070497934;Kondo et al. (2022);Experiment 2;Orientation
1;39;56;-47;17;1;6;1.68351033702493;Kondo et al. (2022);Experiment 2;Orientation
1;126;122;-87;-4;1;7;1.55188134399941;Kondo et al. (2022);Experiment 2;Orientation
1;159;136;-33;-23;1;7;2.71008642000379;Kondo et al. (2022);Experiment 2;Orientation
1;31;57;-52;26;1;7;0.829953546985053;Kondo et al. (2022);Experiment 2;Orientation
